TITLE,Taq temp test HEPES 10-28-2020,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,20/10/28,,
TIME,20:38:32,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,300,,
LASTX,190,,
NPOINTS,1101,,
FIRSTY,0.69182,,
MAXY,1.20277,,
MINY,-4.83543,,
XYDATA,,,
273.1,0.281204,256.477,0.780061
273,0.370615,256.47,0.77997
272.9,0.365144,256.514,0.780509
272.8,0.443493,256.524,0.780621
272.7,0.402555,256.537,0.780786
272.6,0.457925,256.543,0.780857
272.5,0.460954,256.516,0.780531
272.4,0.480964,256.511,0.780473
272.3,0.43711,256.519,0.780561
272.2,0.339829,256.518,0.78055
272.1,0.352668,256.506,0.780403
272,0.297878,256.502,0.780364
271.9,0.261493,256.501,0.780343
271.8,0.2615,256.515,0.780512
271.7,0.206693,256.511,0.780474
271.6,0.157399,256.517,0.780537
271.5,0.158653,256.481,0.780108
271.4,0.183233,256.462,0.779873
271.3,0.181956,256.447,0.779692
271.2,0.26132,256.443,0.779646
271.1,0.232425,256.442,0.779636
271,0.201637,256.446,0.779691
270.9,0.18761,256.468,0.779953
270.8,0.164992,256.476,0.780051
270.7,0.16739,256.522,0.780597
270.6,0.147824,256.534,0.780741
270.5,0.114611,256.539,0.780805
270.4,0.129892,256.557,0.781027
270.3,0.153764,256.559,0.781041
270.2,0.18286,256.561,0.781071
270.1,0.229407,256.559,0.781052
270,0.292807,256.557,0.781027
269.9,0.345458,256.539,0.780811
269.8,0.294228,256.544,0.78087
269.7,0.416768,256.525,0.780643
269.6,0.43708,256.533,0.780733
269.5,0.389416,256.534,0.780747
269.4,0.509915,256.519,0.780563
269.3,0.454332,256.508,0.780432
269.2,0.339546,256.527,0.780656
269.1,0.367562,256.516,0.780535
269,0.409093,256.536,0.780772
268.9,0.430224,256.522,0.780597
268.8,0.323868,256.562,0.78108
268.7,0.36789,256.585,0.781359
268.6,0.406902,256.599,0.781523
268.5,0.418423,256.63,0.781905
268.4,0.464786,256.64,0.782027
268.3,0.376316,256.666,0.782336
268.2,0.403928,256.668,0.782361
268.1,0.25668,256.678,0.782476
268,0.31919,256.688,0.782596
267.9,0.298101,256.645,0.782077
267.8,0.194569,256.651,0.78215
267.7,0.169745,256.641,0.782029
267.6,0.18328,256.618,0.781753
267.5,0.285371,256.606,0.781614
