TITLE,SL + BM Corrected Average Protein,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,14:32:43,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.06098,,
MAXY,57.79573,,
MINY,-68.37383,,
XYDATA,,,
292.7,215.0528458,207.394,0.13552
292.6,109.2020387,206.971,0.12943
292.5,489.2771963,207.572,0.138074
292.4,-272.3131765,207.111,0.13145
292.3,384.0785138,207.687,0.139715
292.2,1117.058597,206.412,0.121386
292.1,452.0820925,206.58,0.123803
292,-74.4625336,207.884,0.142542
291.9,373.5462885,206.793,0.12687
291.8,487.8683513,206.982,0.129593
291.7,40.66660079,206.986,0.129658
291.6,772.1270646,207.649,0.139179
291.5,275.8459526,207.211,0.132883
291.4,-606.4836548,206.626,0.124472
291.3,-185.1001041,206.856,0.127783
291.2,-606.8359051,207.126,0.131662
291.1,-93.30911726,205.977,0.115108
291,483.5188116,206.588,0.123917
290.9,183.5657457,206.735,0.126038
290.8,-597.4580366,206.908,0.128533
290.7,24.51325823,207.287,0.133974
290.6,-348.9838999,207.12,0.13158
290.5,173.0689539,206.301,0.119785
290.4,960.9960685,206.777,0.126642
290.3,375.346249,207.066,0.130799
290.2,595.363761,207.109,0.131417
290.1,460.3661686,206.728,0.12594
290,44.98471937,206.505,0.122725
289.9,-837.4904928,207.681,0.139634
289.8,-389.4246495,206.854,0.127751
289.7,643.5406574,207.457,0.136415
289.6,235.0163281,207.031,0.130293
289.5,-237.3781621,206.946,0.129071
289.4,97.59344005,207.108,0.131401
289.3,-21.32499078,207.59,0.138334
289.2,-93.84880764,207.343,0.134788
289.1,27.30907773,207.481,0.136756
289,421.6967945,207.495,0.136968
288.9,329.5136574,207.927,0.143159
288.8,286.9279921,207.76,0.140772
288.7,-354.4220435,207.818,0.1416
288.6,-164.1382319,207.698,0.139878
288.5,-1049.556804,207.667,0.139439
288.4,1068.046373,208.336,0.149016
288.3,539.5858087,208.261,0.147946
288.2,-11.26277997,206.633,0.12457
288.1,-109.492087,206.958,0.129251
288,909.2734822,207.624,0.138821
287.9,-5.420129117,207.244,0.133355
287.8,227.3356779,208.195,0.147005
287.7,397.2468549,207.136,0.131808
287.6,470.8377997,207.313,0.134348
287.5,16.29939394,207.953,0.143533
287.4,-92.83329644,208.057,0.145026
287.3,-66.17482477,207.68,0.139618
287.2,51.23932148,207.194,0.132639
287.1,915.6800909,207.424,0.135943
287,23.06852569,207.82,0.141633
286.9,-979.593278,206.279,0.119474
286.8,783.313469,207.271,0.133746
286.7,-287.9351213,207.263,0.133632
286.6,-1333.854233,208.15,0.146356
286.5,380.6008086,207.496,0.136984
286.4,494.8141963,208.202,0.147102
286.3,999.4227681,207.664,0.13939
286.2,534.8379328,207.488,0.13687
286.1,343.5524559,207.669,0.139455
286,155.2695825,207.734,0.140398
285.9,-329.8194572,207.554,0.137814
285.8,-489.9109789,207.471,0.136626
285.7,168.2585186,207.973,0.143825
285.6,479.3835178,207.926,0.143143
285.5,497.2827922,207.278,0.133844
285.4,-429.5071937,208.09,0.145496
285.3,-225.5944506,207.678,0.139586
285.2,1065.327524,207.738,0.140447
285.1,319.2194914,208.169,0.146632
285,-409.3107141,208.07,0.145204
284.9,-246.7736877,208.684,0.153989
284.8,-149.4001436,208.193,0.146973
284.7,255.0605033,207.275,0.133811
284.6,835.0993294,208.245,0.147719
284.5,6.875581028,208.812,0.155818
284.4,392.9727602,207.852,0.142087
284.3,113.1129553,208.186,0.146875
284.2,-469.9713175,207.671,0.139488
284.1,165.4778402,208.232,0.147524
284,203.2931041,207.66,0.139325
283.9,530.3716339,208.551,0.152094
283.8,-9.497657444,207.289,0.134007
283.7,277.8525586,208.462,0.150815
283.6,169.4388847,207.221,0.13303
283.5,658.4746719,207.768,0.140886
283.4,-410.0722358,207.963,0.143679
283.3,62.35485903,208.021,0.144506
283.2,20.78128063,207.933,0.14324
283.1,245.8808538,207.735,0.140414
283,-363.8666996,207.718,0.140171
282.9,-57.42290777,207.213,0.132916
282.8,338.9013372,207.427,0.135992
282.7,496.6750487,208.047,0.14488
282.6,239.3261689,208.06,0.145058
282.5,9.001737813,208.03,0.144636
282.4,494.8616444,207.606,0.138561
282.3,-663.4640909,206.869,0.127963
282.2,-56.9272859,208.68,0.15394
282.1,193.5341621,207.424,0.135943
282,328.6306495,208.167,0.1466
281.9,-1380.663925,206.426,0.121582
281.8,391.2337066,207.52,0.137326
281.7,-807.7281686,207.509,0.137163
281.6,81.58242688,208.094,0.145545
281.5,575.4688024,208.384,0.149696
281.4,-216.839556,207.741,0.140495
281.3,194.7643584,208.222,0.147378
281.2,-551.1347958,207.544,0.137667
281.1,-924.7042203,207.963,0.143679
281,94.0718747,208.013,0.144393
280.9,-653.6866877,207.649,0.139179
280.8,881.316776,208.212,0.147248
280.7,79.58147826,207.918,0.143029
280.6,354.5155402,207.326,0.134544
280.5,435.1661265,208.912,0.157241
280.4,-305.8016719,208.314,0.148708
280.3,678.0561278,208.082,0.145383
280.2,197.450751,207.616,0.138708
280.1,351.7981358,207.757,0.140723
280,3.578779974,207.937,0.143305
279.9,222.786274,208.131,0.146081
279.8,1135.230158,207.705,0.139975
279.7,-407.3876298,207.692,0.139797
279.6,585.6627721,208.016,0.144442
279.5,531.6350304,208.395,0.149859
279.4,-322.3742609,207.704,0.139959
279.3,620.8288485,208.195,0.147005
279.2,-1025.893502,207.588,0.138301
279.1,188.7711897,208.346,0.149162
279,-531.5959196,208.342,0.149097
278.9,134.4982872,208.159,0.146486
278.8,84.7662726,208.256,0.147865
278.7,165.242029,209.3,0.162784
278.6,188.1335065,207.524,0.137374
278.5,817.6365863,208.611,0.152953
278.4,240.5808709,207.746,0.140561
278.3,438.6593004,208.37,0.149502
278.2,507.2714414,208.866,0.156594
278.1,342.4564005,207.576,0.138123
278,574.9029091,207.802,0.141373
277.9,-133.831751,208.524,0.151706
277.8,-470.8842503,208.22,0.147362
277.7,-435.4120764,208.062,0.145091
277.6,-194.1218514,208.225,0.147427
277.5,662.4006403,208.016,0.144442
277.4,415.6793584,207.907,0.142867
277.3,436.0771238,207.853,0.142104
277.2,384.0185152,207.87,0.142347
277.1,-173.3080553,207.935,0.143273
277,0.384408432,208.458,0.150766
276.9,-16.11254941,208.167,0.1466
276.8,215.2697642,208.029,0.14462
276.7,-262.693095,208.092,0.145529
276.6,868.822966,207.037,0.130391
276.5,62.14464032,208.081,0.145367
276.4,62.48066271,207.942,0.14337
276.3,-33.84550988,208.223,0.147394
276.2,15.8828274,207.513,0.137228
276.1,93.57010408,208.031,0.144653
276,124.2038235,208.135,0.146145
275.9,-162.4881937,208.122,0.145951
275.8,-143.0923913,208.158,0.14647
275.7,272.416946,208.394,0.149842
275.6,-544.086231,207.816,0.141568
275.5,40.66029423,208.569,0.152354
275.4,1290.213752,207.846,0.142006
275.3,-60.174361,207.433,0.136073
275.2,1660.315402,208.189,0.146908
275.1,64.60571779,208.282,0.148238
275,-623.6048669,207.532,0.137488
274.9,327.4734045,208.787,0.155462
274.8,107.3307945,207.904,0.142835
274.7,-89.38166008,207.938,0.143322
274.6,1057.100559,208.416,0.150167
274.5,268.689137,208.543,0.151981
274.4,-52.59268332,208.151,0.146372
274.3,876.1618024,207.819,0.141617
274.2,-54.96221739,207.826,0.141714
274.1,524.061693,208.466,0.15088
