TITLE,class,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIGIN,JASCO,,,,,,,,,,,,,,,,,,,,,,,,,,
OWNER,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,21/09/28,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME,16:11:38,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECTROMETER/DATA SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCALE,1033,,,,,,,,,,,,,,,,,,,,,,,,,,
RESOLUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELTAX,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
XUNITS,NANOMETERS,,,,,,,,,,,,,,,,,,,,,,,,,,
YUNITS,CD [mdeg],,,,,,,,,,,,,,,,,,,,,,,,,,
Y2UNITS,HT [V],,,,,,,,,,,,,,,,,,,,,,,,,,
Y3UNITS,ABSORBANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRSTX,260,,,,,,,,,,,,,,,,,,,,,,,,,,
LASTX,190,,,,,,,,,,,,,,,,,,,,,,,,,,
NPOINTS,701,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRSTY,0.17797,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXY,12.60967,,,,,,,,,,,,,,,,,,,,,,,,,,
MINY,-5.51119,,,,,,,,,,,,,,,,,,,,,,,,,,
XYDATA,,,,,,,,,,pro. + buffer,,,,,,,,,buffer,,,,,,,,
256.2,-0.16834,252.823,0.735765,-0.16834,252.823,0.735765,0.321695,252.934,0.737123,0.500513,253.335,0.742007,0.375006,253.33,0.741938,1.33795,253.288,0.741435,0.0593063,252.51,0.731949,0.681458,252.611,0.733184,-1.48712,252.906,0.736783
256.1,1.36858,253.194,0.740284,1.36858,253.194,0.740284,0.200079,253.198,0.740334,-0.83414,253.263,0.741128,0.333126,253.416,0.74299,0.57095,253.777,0.747379,0.381463,252.777,0.735202,1.14203,252.935,0.737126,0.838319,252.896,0.736657
256,0.580043,253.262,0.741112,0.580043,253.262,0.741112,0.809504,253.389,0.742664,1.05015,253.424,0.74309,-0.0635193,253.549,0.744612,0.372874,253.316,0.741779,0.538244,253.363,0.742342,1.35311,252.94,0.737192,0.637682,252.913,0.736864
255.9,0.684718,253.394,0.742717,0.684718,253.394,0.742717,-0.154969,253.237,0.74081,0.592913,253.267,0.741181,2.06241,253.609,0.74534,0.245512,253.361,0.742321,0.0466608,252.361,0.730126,0.413422,253.003,0.737958,0.0255003,252.935,0.737126
255.8,0.494491,253.238,0.740819,0.494491,253.238,0.740819,1.30022,253.08,0.738902,0.674832,253.6,0.745225,-0.0437972,253.625,0.745533,-0.574751,253.423,0.743074,0.261146,252.682,0.734043,0.779819,252.639,0.733527,0.695449,252.979,0.737673
255.7,1.17206,253.425,0.743104,1.17206,253.425,0.743104,0.583741,253.459,0.743512,-0.222622,253.638,0.745691,0.814393,253.445,0.743347,-0.588006,253.505,0.74407,-0.274917,252.843,0.736007,0.600478,253.366,0.74238,0.538269,252.925,0.737011
255.6,0.24675,253.433,0.7432,0.24675,253.433,0.7432,-0.206902,253.817,0.74787,-0.293804,253.625,0.74553,0.821575,253.824,0.747949,0.756237,253.427,0.743128,0.847281,252.85,0.736101,0.235469,253.275,0.741269,0.9442,252.823,0.735762
255.5,0.415532,253.224,0.740652,0.415532,253.224,0.740652,0.305598,253.147,0.739712,0.166279,253.543,0.744539,0.465668,253.709,0.746556,1.14222,253.391,0.742683,-0.0658793,252.89,0.736582,0.211791,253.069,0.738764,0.664596,252.881,0.736479
255.4,-0.0543957,253.428,0.743136,-0.0543957,253.428,0.743136,0.864262,253.51,0.744131,1.02776,253.406,0.742867,0.582837,253.489,0.743877,0.0266463,253.558,0.744722,-0.423601,253.08,0.738904,0.00127552,252.578,0.732773,1.00351,253.15,0.73975
255.3,-0.0622616,253.532,0.744408,-0.0622616,253.532,0.744408,1.01011,253.46,0.743529,-0.387063,253.443,0.743316,1.06335,253.905,0.748934,0.806721,253.735,0.746873,-0.250305,252.709,0.73438,0.438139,253.337,0.742026,-0.280382,252.994,0.737855
255.2,0.292184,253.363,0.74234,0.292184,253.363,0.74234,0.558772,253.533,0.744415,0.653061,253.293,0.74149,0.0833172,253.52,0.744253,0.201624,253.698,0.746417,0.84086,252.724,0.734555,1.43354,253.081,0.738907,0.259037,253.075,0.738835
255.1,0.099156,253.253,0.741007,0.099156,253.253,0.741007,0.412083,253.168,0.739977,0.426468,253.482,0.743796,-0.0133357,253.55,0.744627,0.478155,253.612,0.745369,0.39432,253.662,0.745977,0.125813,252.971,0.737575,0.650892,253.094,0.739075
255,0.771286,253.273,0.74125,0.771286,253.273,0.74125,-0.0741939,253.88,0.748629,0.570289,253.469,0.743634,1.91467,253.819,0.747897,0.848707,253.417,0.743003,1.34316,252.841,0.735987,0.407854,253.148,0.739732,0.523168,253.003,0.737955
