TITLE,KMGM_BUFFER&PROTEIN_928_Averages
DATA TYPE,
ORIGIN,JASCO
OWNER,
DATE,22/09/28
TIME,15:18:43
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,CD [mdeg]
Y2UNITS,HT [V]
Y3UNITS,ABSORBANCE
FIRSTX,320
LASTX,190
NPOINTS,1301
FIRSTY,1.27862
MAXY,49.95761
MINY,-56.57431
XYDATA,
259.4,-0.407863
259.3,0.6835218
259.2,-0.9248043333
259.1,-1.2221206
259,-0.7691696666
258.9,1.665714667
258.8,-0.2691343333
258.7,-1.168615666
258.6,-1.122687
258.5,0.483747
258.4,0.0737239
258.3,-0.2882312667
258.2,-0.013744333
258.1,-0.388879
258,0.957781
257.9,0.4433766666
257.8,-0.5564173
257.7,0.5942823337
257.6,0.8094613333
257.5,-1.772173334
257.4,0.1482416667
257.3,-2.070683667
257.2,-0.001555
257.1,0.5792505333
257,0.4529843334
256.9,0.385253
256.8,2.34424188
256.7,0.3458139997
256.6,0.1198656667
256.5,-1.859742333
256.4,-0.5130050433
256.3,-0.1973886
256.2,0.321311667
256.1,-0.814459
256,0.4972903333
255.9,0.7315716667
255.8,0.8454696333
255.7,0.310319667
255.6,-2.014339333
255.5,-1.014333066
255.4,-0.6740546666
255.3,1.465959667
255.2,-1.5225577
255.1,0.264186
255,-1.252487667
254.9,-1.181176233
254.8,-1.1745773
254.7,0.9098593533
254.6,-0.3679333337
254.5,-0.971772327
254.4,-0.911201
254.3,-0.965843
254.2,0.4147683333
254.1,-0.419709
254,-0.0243290734
253.9,0.081690166
253.8,0.5955126666
253.7,-1.145229667
253.6,-0.6064266667
253.5,0.3664523333
253.4,0.1993452334
253.3,-0.204828
253.2,-0.0534756666
253.1,0.6082730663
253,-0.3841635
252.9,-0.373933133
252.8,0.122954
252.7,0.066090667
252.6,-0.7182209997
252.5,0.153210434
252.4,1.045757867
252.3,-0.701853
252.2,-0.731266
252.1,0.0734259666
252,0.142497
251.9,-1.082977333
251.8,0.8374741334
251.7,0.495662
251.6,-0.487511333
251.5,-0.4203
251.4,-0.6079554
251.3,-1.064403
251.2,0.1525743333
251.1,-0.1353616667
251,-0.24869
250.9,0.7310503333
250.8,-0.9873325
250.7,-0.934101
250.6,0.163972
250.5,-1.271521
250.4,-0.0081493267
250.3,-0.992395667
250.2,-1.818215334
250.1,0.503374333
250,-0.9025163333
249.9,-1.435969334
249.8,0.9635153333
249.7,-0.5397873334
249.6,-0.5258093333
249.5,0.302685
249.4,-1.177669333
249.3,-1.5472289
249.2,-1.581376
249.1,-0.7461583333
249,-0.274453
248.9,-0.9999846667
248.8,-0.9357550337
248.7,-2.566652
248.6,-0.905294
248.5,-0.6599256667
248.4,-0.9346266667
248.3,0.0532999
248.2,-0.9752773337
248.1,-0.3260456667
248,-1.400234667
247.9,-0.4845182666
247.8,-1.053523333
247.7,-1.133938333
247.6,-1.897887334
247.5,-1.780213333
247.4,-1.577048387
247.3,-1.421392333
247.2,-1.3887378
247.1,-1.502521967
247,-1.526725612
246.9,-2.005003
246.8,-1.125064666
246.7,-0.699916
246.6,-1.000062667
246.5,-1.693871766
246.4,-1.064394933
246.3,-1.581440167
246.2,-2.287947334
246.1,-0.9130176667
246,-0.361583
245.9,-1.666712967
245.8,-1.7559535
245.7,-1.981926333
245.6,-0.837734
245.5,-2.834959333
245.4,-2.206203334
245.3,-1.58793
245.2,-1.9303535
245.1,-3.173841666
245,-2.015670333
244.9,-2.669042667
244.8,-1.7691595
244.7,-2.952283967
244.6,-1.245618667
244.5,-1.958083
244.4,-2.357564667
244.3,-0.7560776666
244.2,-1.826555667
244.1,-1.648454
244,-1.454298367
243.9,-1.847299667
243.8,-3.812637
243.7,-3.439453
243.6,-4.225406334
243.5,-2.747218333
243.4,-2.337360626
243.3,-1.834340334
243.2,-2.572693333
243.1,-2.380680667
243,-1.9402536
242.9,-2.980636667
242.8,-3.491277
242.7,-3.527787
242.6,-3.899901666
242.5,-3.607248467
242.4,-2.352203833
242.3,-4.43745
242.2,-5.344634667
242.1,-2.95484
242,-3.95274
241.9,-3.719335667
241.8,-3.692365
241.7,-5.045121333
241.6,-2.907385
241.5,-3.386122334
241.4,-2.974885333
241.3,-4.280403333
241.2,-4.692186667
241.1,-5.694256567
241,-4.461630666
240.9,-4.485224333
240.8,-5.150167
240.7,-4.251173
240.6,-5.256876333
240.5,-7.03409
240.4,-4.938074
240.3,-6.808116334
240.2,-5.358801133
240.1,-6.254937333
240,-6.961053667
239.9,-7.463193667
239.8,-6.736085
239.7,-5.868043667
239.6,-7.09018
239.5,-7.706636
239.4,-6.012478667
239.3,-8.842101333
239.2,-7.225143667
239.1,-8.114724
239,-7.254138666
238.9,-7.2943006
238.8,-9.078286
238.7,-8.111576333
238.6,-8.519375
238.5,-8.991007667
238.4,-8.399252333
238.3,-10.79295667
238.2,-8.908997333
238.1,-10.507887
238,-9.73884
237.9,-10.133606
237.8,-10.53562067
237.7,-10.44673267
237.6,-10.064213
237.5,-12.224338
237.4,-10.13181767
237.3,-11.33593767
237.2,-13.401608
237.1,-11.811991
237,-12.79837334
236.9,-11.078446
236.8,-11.720011
236.7,-13.70142067
236.6,-13.220932
236.5,-14.101562
236.4,-13.6186
236.3,-14.55554934
236.2,-13.56086467
236.1,-14.74786033
236,-14.534354
235.9,-14.43928366
235.8,-13.968097
235.7,-15.35611667
235.6,-13.75096166
235.5,-18.07449666
235.4,-16.3485347
235.3,-16.27638767
235.2,-20.25816667
235.1,-17.78843933
235,-17.93904367
234.9,-17.65676766
234.8,-17.403799
234.7,-18.98760133
234.6,-18.047538
234.5,-18.725476
234.4,-18.16503833
234.3,-18.58690233
234.2,-19.49764633
234.1,-21.08428133
234,-19.53502667
233.9,-20.04361866
233.8,-21.954639
233.7,-20.482601
233.6,-22.62374367
233.5,-22.48082566
233.4,-23.18640867
233.3,-22.307957
233.2,-22.77119233
233.1,-23.63852667
233,-23.71105334
232.9,-24.980312
232.8,-24.377862
232.7,-24.98802334
232.6,-24.277542
232.5,-25.62415867
232.4,-26.04095233
232.3,-26.11923534
232.2,-24.96363033
232.1,-26.79383367
232,-27.29960767
231.9,-28.52688066
231.8,-27.84763766
231.7,-29.70637367
231.6,-27.01751767
231.5,-28.786369
231.4,-27.34779
231.3,-29.46236567
231.2,-29.62098867
231.1,-29.07032167
231,-29.88192333
230.9,-29.497626
230.8,-30.95722527
230.7,-29.70590167
230.6,-31.46919
230.5,-32.942747
230.4,-30.77960334
230.3,-31.22955334
230.2,-32.43674646
230.1,-31.49468567
230,-31.58511833
229.9,-33.06073467
229.8,-34.368518
229.7,-33.07840666
229.6,-35.64203333
229.5,-33.836911
229.4,-34.52178634
229.3,-35.87959667
229.2,-33.35542196
229.1,-36.15845267
229,-35.80082
228.9,-35.97256974
228.8,-35.159058
228.7,-37.61629433
228.6,-37.80764367
228.5,-37.28091836
228.4,-37.46864
