TITLE,ECTC_PROTEIN&ADDITIVE_928,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,17:49:36,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [molar ellipticity],,
Y2UNITS,HT [V] (did not change),,
Y3UNITS,ABSORBANCE (did not change),,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,2.00528,,
MAXY,53.38551,,
MINY,-55.11642,,
XYDATA,,,
258.9,6187.5,210.254,0.176356
258.8,127813.3929,210.508,0.179958
258.7,500308.9286,211.175,0.189412
258.6,186900.8929,210.628,0.181661
258.5,107467.9018,210.326,0.17737
258.4,-144117.5595,210.594,0.181179
258.3,103858.9286,210.924,0.185852
258.2,49405.35714,210.432,0.178881
258.1,157626.4881,210.768,0.183637
258,243412.3512,211.507,0.194107
257.9,416630.8036,210.211,0.175745
257.8,585229.7619,210.769,0.183653
257.7,-244720.9821,210.855,0.184873
257.6,364251.7113,210.967,0.186462
257.5,473425.2976,210.91,0.185659
257.4,41193.00595,210.508,0.179958
257.3,73885.20833,210.477,0.179524
257.2,313449.256,210.639,0.181822
257.1,332830.6548,211.254,0.190518
257,110991.2202,211.497,0.193962
256.9,354450.0595,211.358,0.191992
256.8,14696.13095,211.038,0.187472
256.7,188723.7946,210.999,0.186911
256.6,-152010.4167,211.446,0.193242
256.5,-141127.9762,210.971,0.186526
256.4,-116551.6369,211.779,0.197947
256.3,142381.25,211.318,0.191432
256.2,464388.6905,211.143,0.188948
256.1,-27162.05357,211.424,0.192922
256,449745.9821,211.197,0.189717
255.9,202681.2054,211.379,0.192297
255.8,265350.4464,211.156,0.18914
255.7,253542.5595,210.836,0.1846
255.6,-124633.3333,210.923,0.185836
255.5,717123.8095,211.53,0.194427
255.4,133222.9167,211.123,0.188675
255.3,-335320.0893,211.707,0.196923
255.2,214882.5893,211.567,0.194955
255.1,394204.3155,211.211,0.189909
255,-129439.1369,211.086,0.188146
254.9,-4522.619048,212.477,0.207785
254.8,147056.2351,211.65,0.196123
254.7,273952.6786,211.347,0.191832
254.6,131690.0298,211.482,0.193754
254.5,-257702.2321,212.125,0.202821
254.4,223910.4167,212.398,0.206668
254.3,170646.7262,213.047,0.215799
254.2,552182.5893,212.566,0.209029
254.1,274899.7024,212.132,0.202917
254,277444.9405,211.43,0.193018
253.9,-42431.30952,212.8,0.212328
253.8,286335.2679,211.99,0.20092
253.7,474553.4226,212.352,0.206014
253.6,33701.19048,211.978,0.200745
253.5,303870.3869,212.696,0.210862
253.4,163356.6964,211.692,0.196715
253.3,384183.631,212.576,0.209172
253.2,161527.381,211.871,0.199242
253.1,-76727.67857,212.977,0.214812
253,-363097.0238,212.812,0.212487
252.9,206934.2262,211.752,0.197563
252.8,117980.8036,212.131,0.202901
252.7,161413.244,212.318,0.205536
252.6,826766.369,212.696,0.210862
252.5,169942.5446,212.458,0.207514
252.4,68334.3006,212.516,0.208327
252.3,762930.0595,213.295,0.219282
252.2,12275.14881,212.659,0.210336
252.1,-24240.92262,212.384,0.206477
252,-195243.4524,211.605,0.195483
251.9,4280.654762,212.254,0.204642
