TITLE,ds + JL Protein and buffer,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,15:32:57,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,-0.24368,,
MAXY,47.00092,,
MINY,-74.42773,,
XYDATA,,,
289.6,-0.762844467,207.406,0.135683
289.5,-0.1916621,207.243,0.133339
289.4,0.563820667,207.375,0.135243
289.3,-0.817034,207.801,0.141356
289.2,-1.272139333,207.888,0.142607
289.1,0.590845333,208.186,0.146875
289,-0.675664967,207.586,0.138269
288.9,-0.670256,208.435,0.150426
288.8,0.453482,208.003,0.144247
288.7,-0.716224,209.019,0.158777
288.6,-1.022907,208.125,0.146
288.5,-0.776550333,208.267,0.148027
288.4,-1.079171667,208.121,0.145935
288.3,-0.897557667,208.086,0.145432
288.2,-0.288458333,207.934,0.143257
288.1,-2.114708333,208.265,0.147994
288,-1.870601333,208.173,0.146681
287.9,-0.369481367,208.444,0.150555
287.8,-1.164181667,208.719,0.154491
287.7,-1.574915333,208.114,0.145837
287.6,-0.502846667,208.09,0.145496
287.5,-0.940225,208.09,0.145496
287.4,-0.420269,207.484,0.136805
287.3,-1.749527,207.853,0.142104
287.2,-0.377025333,208.932,0.157532
287.1,-1.381904333,208.77,0.155219
287,-1.411379,208.146,0.146291
286.9,-0.926408333,208.398,0.149907
286.8,-1.201513,208.531,0.151803
286.7,-1.033675667,208.043,0.144815
286.6,-0.044832667,207.771,0.140918
286.5,-2.059157867,207.478,0.136724
286.4,-1.023570667,208.56,0.152224
286.3,-0.311129333,207.447,0.136268
286.2,-1.386521367,207.913,0.142964
286.1,0.150945667,208.248,0.147751
286,0.057718667,209.071,0.159521
285.9,-0.402268633,208.716,0.154442
285.8,-1.234247667,209.118,0.160184
285.7,-0.036882,208.388,0.149761
285.6,-1.2961041,208.802,0.155672
285.5,-1.641151,208.531,0.151803
285.4,-0.755327,207.829,0.141762
285.3,-1.066921,207.731,0.140349
285.2,-1.594384333,207.675,0.139553
285.1,-1.073735333,207.479,0.13674
285,-1.594291333,209.671,0.168061
284.9,-0.790742333,210.254,0.176356
284.8,-1.271525567,206.524,0.123003
284.7,0.450385,207.192,0.132606
284.6,-1.747484,209.05,0.159214
284.5,-1.067631,208.846,0.156303
284.4,-0.122498667,207.958,0.143598
284.3,-0.379282,207.428,0.136008
284.2,0.198242667,207.947,0.143451
284.1,-1.501017983,209.241,0.161945
284,-0.984465333,207.89,0.142623
283.9,-2.058391933,208.465,0.150863
283.8,-1.556638333,209.112,0.160103
283.7,-0.4304,209.888,0.171156
283.6,0.022116,208.171,0.146648
283.5,-1.155870667,207.907,0.142867
283.4,-0.301278033,207.681,0.139634
283.3,-0.444401333,208.009,0.144328
283.2,-0.166680413,208.428,0.150329
283.1,-1.362493667,207.428,0.136008
283,-1.933437,207.33,0.134592
282.9,-1.309249733,208.623,0.153114
282.8,-0.091938667,209.228,0.161751
282.7,-1.673531767,207.512,0.137212
282.6,-0.475829333,209.016,0.158729
282.5,-1.558194667,207.701,0.139927
282.4,-0.355109733,208.593,0.152694
282.3,-2.18757093,207.72,0.140187
282.2,0.13259,208.263,0.147978
282.1,0.758124333,209.075,0.159569
282,0.602440333,207.04,0.130424
281.9,-0.611630667,207.155,0.132085
281.8,-0.755252667,208.146,0.146291
281.7,0.114532433,208.582,0.152532
281.6,0.1711085,208.625,0.153147
281.5,-0.928141,208.835,0.156141
281.4,-1.807845667,207.882,0.14251
281.3,-0.166336,208.184,0.146843
281.2,0.515865333,207.87,0.142347
281.1,-1.855516333,207.374,0.135227
281,-1.240089,208.243,0.147686
280.9,-0.031843333,208.146,0.146291
280.8,0.375102333,208.736,0.154733
280.7,-1.981598667,208.375,0.149567
280.6,-0.178653433,208.469,0.150912
280.5,-0.09198,208.505,0.15143
280.4,-0.651353333,208.661,0.153665
280.3,-0.325537667,208.457,0.15075
280.2,-0.993225333,209.163,0.16083
280.1,-1.502947,208.582,0.152532
280,-1.352631667,209.188,0.161185
279.9,-0.841214667,208.039,0.144766
279.8,-1.51602,209.399,0.164189
279.7,-1.4522962,208.402,0.149956
279.6,-1.218261333,208.002,0.144231
279.5,0.219820333,208.474,0.150993
279.4,-0.8839665,207.918,0.143029
279.3,-0.917619,209.402,0.164237
279.2,-0.651024467,207.865,0.142266
279.1,-2.585925667,208.137,0.146162
279,-0.415259333,208.575,0.152434
278.9,-0.546090667,208.79,0.15551
278.8,-0.797145833,208.484,0.151139
278.7,0.05557,208.47,0.150928
278.6,-0.818649333,208.487,0.151171
278.5,-0.095226333,208.522,0.151673
278.4,-1.52046,209.257,0.162171
278.3,0.202723,208.399,0.149923
278.2,-1.798999667,209.749,0.169174
278.1,-1.603233,208.947,0.157743
278,-0.511037667,208.06,0.145058
277.9,-1.157964667,209.514,0.165835
277.8,-1.793610367,208.678,0.153908
277.7,-1.044730333,207.904,0.142835
277.6,0.298414,208.841,0.156238
277.5,0.172209667,209.546,0.166287
277.4,-1.379660333,208.385,0.149713
277.3,-0.082896667,208.533,0.151835
277.2,-2.270402133,208.77,0.155219
277.1,-2.281627933,208.876,0.15674
277,-1.908503,209.483,0.165383
276.9,-1.642725333,208.904,0.157128
276.8,-1.063255333,208.991,0.158373
276.7,-0.016758333,209.009,0.158632
276.6,0.309655667,207.88,0.142493
276.5,-1.817597733,208.054,0.144977
276.4,-1.503478,209.378,0.163899
276.3,-1.970089333,208.176,0.14673
276.2,-0.938686333,208.89,0.156934
276.1,-0.958979333,209.649,0.167755
276,-1.782844667,207.942,0.14337
275.9,-0.415631733,208.405,0.150004
275.8,-1.201264667,210.203,0.175632
275.7,-0.333327333,208.248,0.147751
275.6,-1.867634133,208.881,0.156804
275.5,-1.3442876,209.238,0.161896
275.4,-0.593765633,209.397,0.164157
275.3,0.820152,208.263,0.147978
275.2,0.032260667,208.126,0.146016
275.1,-0.386616667,208.194,0.146989
275,-1.396094733,209.908,0.17143
274.9,-0.640319,209.634,0.167545
274.8,-0.400482,208.933,0.157548
274.7,-1.183245333,208.803,0.155688
274.6,-0.503469667,209.385,0.163995
274.5,-1.578358667,207.33,0.134592
274.4,1.116887667,209.128,0.160329
274.3,-2.241175333,208.087,0.145448
274.2,-1.107456367,207.645,0.139114
274.1,-0.905985333,208.899,0.157063
274,-0.451000933,208.532,0.151819
273.9,-0.441849,208.927,0.157468
273.8,0.213472467,208.412,0.150102
273.7,-1.387925333,209.11,0.16007
273.6,-0.938095433,209.078,0.159618
273.5,-1.364183,208.459,0.150782
273.4,-2.575109667,208.729,0.154636
273.3,-1.366191933,207.63,0.138903
273.2,-0.877113833,208.116,0.14587
273.1,-1.717273667,208.464,0.150847
273,-1.752029433,207.529,0.137456
272.9,0.204572667,209.37,0.163785
272.8,-0.469963667,208.833,0.156125
272.7,-0.329997667,209.427,0.164592
272.6,-0.516845667,207.935,0.143273
272.5,-1.451000333,209.017,0.158745
272.4,-1.27911,209.14,0.160507
272.3,-1.565999667,208.676,0.153876
272.2,-0.802823233,208.548,0.152046
272.1,-0.8373037,209.461,0.165077
272,-1.407627667,209.01,0.158648
271.9,-0.060457,207.91,0.142916
271.8,-1.781193667,209.004,0.158567
271.7,-1.775697633,208.539,0.151916
271.6,-0.8017053,207.827,0.14173
271.5,-0.7676576,208.82,0.155931
271.4,-1.663398033,209.049,0.159198
271.3,0.137810667,209.011,0.158664
271.2,-0.360945333,209.509,0.165755
271.1,-0.986804243,208.932,0.157532
271,-0.508533,207.766,0.140853
270.9,-1.278463033,209.085,0.159715
270.8,-0.932996333,209.382,0.163947
270.7,-0.572862333,209.346,0.16343
270.6,0.379274,207.683,0.139667
270.5,-2.387693,208.557,0.152175
270.4,-0.097967,209.025,0.158858
270.3,-0.057901,207.799,0.141324
270.2,-1.712471,208.496,0.151301
270.1,-0.039087,207.95,0.143484
270,-0.119309867,208.378,0.149615
269.9,-1.337490633,209.187,0.161169
269.8,-0.603339167,209.455,0.164996
269.7,-1.73482,208.866,0.156594
269.6,-0.1475623,207.637,0.139
269.5,-0.5346194,209.707,0.168577
269.4,-0.6861945,209.466,0.165141
269.3,-1.813089333,209.248,0.162042
269.2,-1.143237667,208.969,0.158066
269.1,-1.032353667,208.761,0.15509
269,-1.534238,208.866,0.156594
268.9,-0.841006,209.092,0.159812
268.8,-0.076081537,208.41,0.150069
268.7,-1.080418,209.927,0.171704
268.6,-2.0390932,209.103,0.159973
268.5,-1.077499223,210.14,0.174731
268.4,-1.538574,208.394,0.149842
268.3,-1.635235333,208.598,0.152758
268.2,-1.177489667,209.683,0.168239
268.1,-0.914805667,209.551,0.166351
268,-0.201084967,209.232,0.161815
267.9,-1.407991833,209.273,0.162397
267.8,-1.2994776,209.028,0.158907
267.7,-2.059184267,208.909,0.157209
267.6,-1.290223333,209.801,0.169915
267.5,-1.155077667,209.791,0.16977
267.4,-1.850045333,209.875,0.170962
267.3,0.0424388,210.065,0.173668
267.2,-1.401374,210.594,0.181179
267.1,-1.044300967,210.26,0.176436
267,-0.579811,209.901,0.171333
266.9,-0.855536297,209.477,0.165303
266.8,-1.135472333,208.352,0.149243
266.7,0.967338,211.484,0.19377
266.6,-0.666069,210.671,0.182272
266.5,-2.062858,210.322,0.177321
266.4,-0.3658134,210.011,0.172895
266.3,-0.854128,209.458,0.165028
266.2,-0.612087467,209.73,0.1689
266.1,1.063368657,210.782,0.183846
266,-1.681438333,209.1,0.159925
265.9,-0.277921667,210.138,0.174699
265.8,-0.02767,209.556,0.166432
265.7,-0.004371067,209.502,0.165658
265.6,-0.989294233,209.637,0.167577
265.5,-1.377666,210.253,0.17634
265.4,-0.234530667,210.765,0.183605
265.3,0.096319333,211.047,0.1876
265.2,-0.805313733,209.858,0.170721
265.1,0.283522333,210.064,0.173652
265,-0.2011563,208.923,0.157403
264.9,-1.136100833,210.397,0.178383
264.8,-0.990883,210.88,0.185226
264.7,0.300992,210.466,0.179364
264.6,-0.718290333,209.387,0.164028
264.5,-0.221043433,209.807,0.169996
264.4,-1.163395333,210.413,0.178608
264.3,-1.428575667,209.065,0.159424
264.2,-2.066889,210.386,0.178222
264.1,-1.069018667,210.645,0.181902
264,0.271868,209.846,0.17056
263.9,-1.571380333,210.569,0.180826
263.8,-1.997213,209.949,0.172026
263.7,-0.621776667,209.888,0.171156
263.6,-0.433778783,210.747,0.183348
263.5,-0.765881,211.511,0.194154
263.4,-1.475909,208.728,0.15462
263.3,-1.486471667,211.173,0.189381
263.2,-1.068763,210.573,0.180874
263.1,-0.676474333,210.9,0.185515
263,-1.510353333,211.415,0.192793
262.9,-0.839157233,209.895,0.171253
262.8,-1.266452667,210.939,0.18606
262.7,-0.189512333,211.284,0.190951
262.6,-0.9253872,211.297,0.191127
262.5,-2.869636667,210.797,0.184054
262.4,-0.523963867,210.718,0.18293
262.3,-0.417758233,210.673,0.182304
262.2,-0.910339333,210.711,0.182834
262.1,-1.396582667,211.083,0.188098
262,-0.407492333,210.221,0.17589
