TITLE,CC.SJ.9_28_22_PHOSPHATEBUFFER_CONTROL,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,13:58:08,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,-0.19391,,
MAXY,6.42178,,
MINY,-3.32288,,
XYDATA,,,
279.6,0.4300093333,205.784,0.112325
279.5,0.6238763333,206.286,0.119572
279.4,0.9733226667,206.089,0.116727
279.3,-0.3360676667,205.838,0.113095
279.2,1.035778667,206.218,0.118592
279.1,0.5292459667,205.529,0.108639
279,1.524738333,205.593,0.109557
278.9,1.065009,205.689,0.11095
278.8,1.063274,205.836,0.113079
278.7,0.2047713667,206.074,0.116515
278.6,-0.4981435333,205.833,0.113029
278.5,0.9435686667,205.768,0.112096
278.4,1.2717439,206.261,0.119213
278.3,0.965819,205.649,0.110376
278.2,-0.1049231333,206.59,0.12395
278.1,0.8138036333,206.23,0.118755
278,0.25951,206.093,0.116777
277.9,0.7193033333,206.437,0.121745
277.8,0.250993,205.925,0.114355
277.7,1.306478667,206.094,0.116793
277.6,1.418277667,206.562,0.123541
277.5,-0.4492926667,206.072,0.116482
277.4,0.1218843333,206.428,0.121615
277.3,0.574759,205.11,0.102569
277.2,0.4232780333,206.245,0.118984
277.1,0.504098,206.269,0.119327
277,0.752738,205.548,0.108901
276.9,1.189336667,205.853,0.113324
276.8,0.4438421667,205.912,0.114175
276.7,0.8632853333,206.025,0.115795
276.6,-0.1010283667,206.167,0.117856
276.5,0.8888356667,205.703,0.111146
276.4,0.4042613333,205.508,0.108328
276.3,0.4296198,206.059,0.116286
276.2,0.4225623333,206.217,0.118575
276.1,0.995928,206.052,0.116188
276,1.606376667,206.443,0.121827
275.9,0.7098293333,205.814,0.112751
275.8,-0.6644443333,206.028,0.115844
275.7,0.734274,206.3,0.119768
275.6,1.255538333,205.682,0.110851
275.5,0.09411566667,206.477,0.122317
275.4,0.3985066667,206.125,0.117251
275.3,0.5474876667,205.903,0.114044
275.2,0.5093563333,206.19,0.118183
275.1,0.4058783333,205.903,0.114044
275,1.216013833,205.664,0.110589
274.9,0.2861256667,206,0.115435
274.8,0.3484766667,206.231,0.118771
274.7,0.401065,205.686,0.1109
274.6,1.000213667,205.92,0.11429
274.5,0.8549166667,205.994,0.115353
274.4,0.398751,205.349,0.106032
274.3,0.07541133333,205.81,0.112702
274.2,-0.3802903333,206.248,0.119017
274.1,0.86108,205.882,0.113733
274,0.7081356667,206.121,0.117186
273.9,-0.1380744667,205.926,0.114371
273.8,0.0213755,206.153,0.117643
273.7,0.856587,206.333,0.120242
273.6,-0.9495660333,206.145,0.117529
273.5,0.692905,205.989,0.115288
273.4,0.4584233333,206.693,0.125435
273.3,0.07550933333,206.379,0.120912
273.2,-0.1667113333,206.536,0.123166
273.1,1.733266667,206.685,0.12532
273,0.1113663333,206.275,0.119409
272.9,0.9708113333,206.559,0.123509
272.8,0.09870533333,206.049,0.116155
272.7,-0.278673,206.08,0.116597
272.6,0.4314183333,205.791,0.112424
272.5,0.5912426667,206.242,0.118935
272.4,0.7780066667,205.838,0.113095
272.3,0.7809436667,206.107,0.116989
272.2,-0.03740343333,206.39,0.121075
272.1,0.9325073333,206.468,0.122186
272,1.219079333,206.642,0.1247
271.9,0.5108156667,206.599,0.12408
271.8,-0.097892,206.783,0.126723
271.7,0.937561,207.074,0.130913
271.6,0.4457316333,205.41,0.106917
271.5,0.7362803333,206.137,0.117415
271.4,0.3114993333,206.247,0.119
271.3,0.2848813333,206.236,0.118853
271.2,0.7845583333,206.656,0.124896
271.1,1.38129,205.809,0.112686
271,0.817692,206.676,0.12519
270.9,0.365986,206.767,0.126495
270.8,0.6195783333,206.447,0.121892
270.7,0.5060363333,206.844,0.127604
270.6,0.9085756667,206.679,0.125239
270.5,0.3396357,206.652,0.124847
270.4,0.843845,206.857,0.1278
270.3,-0.4089038667,206.695,0.125467
270.2,0.8938423333,206.571,0.123672
270.1,0.1353493333,206.797,0.126935
270,0.7377393333,206.274,0.119393
269.9,0.972915,206.26,0.119196
269.8,0.614174,206.421,0.121517
269.7,0.9857066667,206.41,0.121353
269.6,-0.1432613333,206.492,0.122545
269.5,0.0265494,206.786,0.126772
269.4,0.322411,206.48,0.122366
269.3,0.7668889333,206.466,0.12217
269.2,0.09612733333,206.907,0.128517
269.1,-0.043488,207.204,0.132786
269,0.094772,207.345,0.134804
268.9,0.391487,207.286,0.133958
268.8,-0.576797,207.073,0.130896
268.7,1.985703333,207.42,0.135894
268.6,0.7074786667,207.656,0.139277
268.5,0.1711487333,207.42,0.135894
268.4,0.0671531,207.311,0.134316
268.3,0.2857687,206.567,0.123623
268.2,0.8368096667,206.923,0.128745
268.1,0.6906366667,206.739,0.126103
268,0.6370973333,207.352,0.134918
267.9,0.058089,207.436,0.136122
267.8,0.032518,207.413,0.13578
267.7,0.4823063333,207.163,0.132199
267.6,1.021196667,207.088,0.131124
267.5,1.2543007,207.411,0.135764
267.4,0.19125,206.932,0.128876
