TITLE,KMGM_BUFFER&PROTEIN_928_Averages,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,15:18:43,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.27862,,
MAXY,49.95761,,
MINY,-56.57431,,
XYDATA,,,
278.2,-0.3401233333,207.0673333,0.1308133333
278.1,0.7987016667,207.5826667,0.138225
278,0.893087,207.804,0.1413926667
277.9,0.9834176667,207.8106667,0.1414896667
277.8,1.603553333,207.4383333,0.1361473333
277.7,1.704939,206.7976667,0.1269356667
277.6,2.0188,207.7886667,0.1411616667
277.5,0.6068153333,207.6433333,0.1390893333
277.4,0.895535,207.487,0.136848
277.3,0.900881,207.4236667,0.135941
277.2,1.229578667,207.5546667,0.1378203333
277.1,-0.3490286333,207.3763333,0.1352516667
277,1.004199,207.6263333,0.1388476667
276.9,1.087246,207.25,0.1334413333
276.8,1.87877,207.9283333,0.143174
276.7,1.290848667,207.65,0.1391886667
276.6,0.352567,208.09,0.145484
276.5,0.71897,207.7163333,0.140137
276.4,-0.01727403333,207.4646667,0.136507
276.3,1.929986667,207.0176667,0.1301073333
276.2,1.431018667,207.8443333,0.141953
276.1,-0.1587416667,207.1873333,0.1325416667
276,0.9030543333,207.4646667,0.1365263333
275.9,1.795906667,206.821,0.1272756667
275.8,1.076470333,207.357,0.1349776667
275.7,0.038739,207.4316667,0.136056
275.6,0.8225613,207.922,0.143087
275.5,0.4153866667,207.303,0.1342046667
275.4,0.850288,207.351,0.134894
275.3,0.81881,206.9703333,0.1294166667
275.2,0.03298,208.081,0.1453636667
275.1,0.06323366667,207.683,0.1396526667
275,1.621323333,207.5763333,0.1381276667
274.9,0.98986,207.307,0.1342583333
274.8,0.9172883333,207.5216667,0.137343
274.7,1.391181,207.1793333,0.13241
274.6,-0.1840806667,207.754,0.1406686667
274.5,0.837401,207.3916667,0.135475
274.4,0.562303,207.1856667,0.132522
274.3,1.040216,207.06,0.1307126667
274.2,0.9194841333,207.6796667,0.139615
274.1,0.9862336667,207.542,0.137635
274,1.497245333,207.364,0.1350856667
273.9,0.74554,207.4253333,0.1359596667
273.8,0.976762,207.4553333,0.1363916667
273.7,0.4503905667,207.4636667,0.136511
273.6,1.096019,207.2396667,0.133301
273.5,1.303337,207.33,0.134588
273.4,0.8102823333,207.3136667,0.1343633333
273.3,0.2864616667,207.5036667,0.1370923333
273.2,1.53529321,207.5073333,0.1371393333
273.1,0.5413953333,207.965,0.143699
273,0.5910733333,207.6476667,0.139155
272.9,1.184616333,207.6843333,0.1396806667
272.8,0.1441106667,207.8053333,0.1414106667
272.7,1.022098333,207.6296667,0.1388956667
272.6,0.9052076667,207.2973333,0.134125
272.5,0.1059706667,207.729,0.1403206667
272.4,1.347836667,207.7883333,0.1411613333
272.3,0.5142466667,207.6563333,0.13928
272.2,0.832025,207.6353333,0.1389753333
272.1,1.935107667,208.192,0.146947
272,0.4329630667,207.4446667,0.136239
271.9,0.6892533333,207.7996667,0.141333
271.8,0.396033,206.9776667,0.1295303333
271.7,0.4570766667,206.9266667,0.1287896667
271.6,0.01231003333,207.2103333,0.132877
271.5,0.9523846667,207.2793333,0.1338566667
271.4,1.082088967,207.168,0.1322603333
271.3,0.8765487,207.598,0.138416
271.2,0.1215283667,207.9776667,0.1438893333
271.1,0.190014,207.412,0.1357576667
271,-0.6153267633,207.8026667,0.1413776667
270.9,0.5416830667,207.831,0.141783
270.8,1.2201483,207.3976667,0.1355653333
270.7,0.560617,207.921,0.14307
270.6,0.2692393033,208.117,0.1458773333
270.5,0.437978,207.3046667,0.1342226667
270.4,1.696827333,207.8296667,0.1417613333
270.3,0.7606313333,207.9783333,0.1438926667
270.2,1.017366333,207.6276667,0.138833
270.1,1.272002333,208.2793333,0.148203
270,0.5796213333,207.6473333,0.1391446667
269.9,0.76304,207.7403333,0.1404843333
269.8,0.1569363333,207.9946667,0.144124
269.7,0.3170073333,208.1236667,0.1459756667
269.6,1.647063,207.9163333,0.1430033333
269.5,1.899376667,208.1436667,0.1462643333
269.4,0.827796,208.0253333,0.144565
269.3,1.036666,207.8466667,0.142006
269.2,0.1537896667,207.8943333,0.142693
269.1,0.1569161333,208.4383333,0.1504586667
269,1.136179167,208.0686667,0.1451863333
268.9,0.285347026,208.551,0.1520833333
268.8,1.175991333,208.5876667,0.152611
268.7,1.062903667,208.5573333,0.152174
268.6,-0.01173486667,207.7756667,0.1409936667
268.5,-0.3103162333,208.099,0.1456163333
268.4,-0.006278666667,208.2096667,0.1472096667
