TITLE,Protein_AMSS
DATA TYPE,
ORIGIN,JASCO
OWNER,
DATE,22/09/27
TIME,14:37:36
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,CD [mdeg]
Y2UNITS,HT [V]
Y3UNITS,ABSORBANCE
FIRSTX,320
LASTX,190
NPOINTS,1301
FIRSTY,0.0788
MAXY,35.46646
MINY,-73.42445
XYDATA,
254.4,18077.48641
254.3,-6709.177396
254.2,8741.324156
254.1,-4965.319242
254,3928.714238
253.9,5674.628269
253.8,17419.96331
253.7,-9436.056589
253.6,-7338.060718
253.5,3272.462203
253.4,5683.016878
253.3,-4121.919126
253.2,19003.58071
253.1,1302.109343
253,7831.81393
252.9,3473.413379
252.8,-9780.63188
252.7,1256.310116
252.6,4256.883228
252.5,12027.00594
252.4,7723.87793
252.3,-1821.233517
252.2,-8811.558685
252.1,-6196.140109
252,3307.518401
251.9,10045.15238
251.8,3322.513407
251.7,263.4882682
251.6,-3004.481313
251.5,9940.550342
251.4,-4059.953337
251.3,9219.214777
251.2,-11989.9979
251.1,-7826.110852
251,-6094.632059
250.9,-8226.323722
250.8,1401.705133
250.7,-8050.205904
250.6,1250.850396
250.5,9101.666142
250.4,6286.110146
250.3,167.4736377
250.2,8825.331473
250.1,-9386.772098
250,388.5719507
249.9,-10581.6434
249.8,-1901.172279
249.7,3020.430752
249.6,-5469.777938
249.5,-3019.668563
249.4,2615.830203
249.3,6815.313995
249.2,-10256.24046
249.1,-1519.681681
249,748.5968474
248.9,2169.747993
248.8,4222.503275
248.7,-6227.208948
248.6,-10980.37034
248.5,-12585.46882
248.4,-12950.64404
248.3,6214.717632
248.2,-3731.888385
248.1,530.2442264
248,3491.588322
247.9,-6191.373371
247.8,-9552.859319
247.7,-6983.35984
247.6,-13561.54014
247.5,300.7686128
247.4,-14291.39436
247.3,-4010.881444
247.2,-5958.705608
247.1,-16139.57071
247,-988.3380467
246.9,-6721.019606
246.8,6464.184326
246.7,1231.61472
246.6,-16180.1771
246.5,-4353.525251
246.4,-11507.83042
246.3,-5974.367812
246.2,-13272.00534
246.1,-9412.035177
246,-14213.01775
245.9,-14418.73883
245.8,-14766.43977
245.7,-7345.291342
245.6,-13945.53669
245.5,499.1482475
245.4,-17982.5497
245.3,-10024.20235
245.2,-16628.80597
245.1,-16206.39009
245,-13042.76042
244.9,-17095.66407
244.8,-19001.97491
244.7,-9648.117188
244.6,-7803.724642
244.5,-23816.52536
244.4,-11847.05003
244.3,-17379.48357
244.2,-15395.70985
244.1,-13854.06941
244,-28302.22605
243.9,-16626.7026
