TITLE,Sample_JH_CW,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/27,,
TIME,15:51:47,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.96153,,
MAXY,23.78934,,
MINY,-56.33782,,
XYDATA,,,
270.3,1540.853755,206.202,0.118363
270.2,3657.002635,206.332,0.120226
270.1,3624.487879,206.062,0.116335
270,6151.009223,205.295,0.105244
269.9,1079.200264,206.351,0.120504
269.8,3292.599473,207.352,0.134918
269.7,3416.735178,205.825,0.112915
269.6,-1003.092227,206.136,0.117398
269.5,2568.05942,207.695,0.139829
269.4,1278.92253,205.909,0.114126
269.3,4905.060606,206.187,0.118134
269.2,1432.964124,207.807,0.141438
269.1,3037.704875,206.802,0.127
269,1994.052701,206.502,0.122676
268.9,3165.662714,206.479,0.122349
268.8,1414.600395,206.929,0.128826
268.7,1208.49552,206.72,0.125826
268.6,3464.218498,206.02,0.11573
268.5,6163.127536,206.36,0.120634
268.4,176.8392622,206.397,0.121174
268.3,-574.129776,206.914,0.128615
268.2,2448.512516,206.792,0.126854
268.1,1826.152833,206.976,0.129511
268,1235.121212,206.633,0.12457
267.9,1776.216864,206.72,0.125826
267.8,-72.45981555,206.801,0.126984
267.7,1522.871542,206.709,0.125663
267.6,898.6166008,206.592,0.123982
267.5,2500.808959,206.734,0.126022
267.4,2699.483531,205.553,0.108983
267.3,-175.314888,206.878,0.128093
267.2,-1148.852833,205.975,0.115075
267.1,-2365.928854,207.962,0.143663
267,1342.642951,206.281,0.119491
266.9,1630.260343,207.11,0.131434
266.8,2532.998682,205.941,0.114584
266.7,3400.959157,206.605,0.124162
266.6,1881.028986,207.91,0.142916
266.5,5110.667984,206.497,0.122611
266.4,655.5961792,206.138,0.117431
266.3,988.1264822,207.669,0.139455
266.2,1599.762846,206.777,0.126642
266.1,-698.284585,207.127,0.131678
266,3208.873518,206.786,0.126772
265.9,2033.919631,206.797,0.126935
265.8,-889.6587615,206.775,0.126609
265.7,1170.44664,206.819,0.127245
265.6,-1104.552042,207.613,0.138659
265.5,3442.437418,206.334,0.120258
265.4,1925.387352,206.456,0.122023
265.3,-1122.158103,207.031,0.130293
265.2,1559.503294,207.277,0.133828
265.1,2006.575099,207.504,0.137098
265,3403.507905,207.013,0.130033
264.9,-5164.841897,207.324,0.134511
264.8,-1855.16996,206.738,0.126087
264.7,4629.993412,206.696,0.125483
264.6,1142.571805,207.884,0.142542
264.5,-1708.744928,207.263,0.133632
264.4,759.0699341,207.512,0.137212
264.3,-914.599473,207.252,0.133469
264.2,-528.1146245,207.56,0.137895
264.1,179.0298551,208.45,0.150653
264,-911.9670619,207.718,0.140171
263.9,277.8432148,207.43,0.136024
263.8,987.5586298,206.707,0.12563
263.7,336.8168643,207.95,0.143484
263.6,2457.264822,206.555,0.123443
263.5,1658.018445,207.534,0.137521
263.4,2556.849802,207.803,0.141389
263.3,3933.367589,207.201,0.132737
263.2,2984.204216,208.765,0.155154
263.1,-1152.70527,206.176,0.117987
263,4932.108037,207.515,0.137244
262.9,3238.722003,207.345,0.134804
262.8,3201.525692,206.76,0.126397
262.7,2865.602108,208.046,0.144864
262.6,1978.144928,207.623,0.138805
262.5,5484.926219,208.115,0.145853
262.4,3127.309618,208.498,0.151333
262.3,5307.619236,206.584,0.123868
262.2,1194.409881,207.417,0.135846
262.1,3857.077734,208.54,0.151932
262,1011.98419,207.481,0.136756
261.9,343.6126482,208.751,0.154944
261.8,825.2898551,206.967,0.129381
261.7,342.1383399,208.637,0.153325
261.6,1613.545455,207.134,0.131776
261.5,872.483531,208.465,0.150863
261.4,2352.389987,208.217,0.147313
261.3,-4301.111989,207.26,0.133583
261.2,2060.970883,208.967,0.158034
261.1,2357.656126,207.967,0.143728
261,7390.623188,208.341,0.149081
260.9,2814.063241,209.359,0.163624
260.8,435.4716733,208.324,0.148838
260.7,1206.784321,208.074,0.145269
260.6,856.6811594,208.496,0.151301
260.5,1568.379447,208.463,0.150831
260.4,-588.4018445,207.81,0.141486
260.3,4257.55863,208.394,0.149842
260.2,-1943.027299,208.581,0.152515
260.1,4432.575758,208.231,0.147508
260,2856.714097,208.873,0.156691
259.9,2152.1278,208.006,0.144296
259.8,1201.503294,209.616,0.167287
259.7,1291.528327,208.387,0.149745
259.6,-1825.147563,209.128,0.160329
259.5,563.7865613,209.025,0.158858
259.4,-515.1736495,208.844,0.156271
259.3,1064.602108,207.99,0.144068
259.2,-237.916996,208.26,0.147929
259.1,3392.403426,208.891,0.15695
259,3583.686298,208.757,0.155041
258.9,1898.023715,209.034,0.158987
258.8,2259.542819,208.793,0.155542
258.7,1642.490119,208.461,0.150798
258.6,2701.716733,209.266,0.1623
258.5,2225.208169,208.556,0.152159
258.4,2735.152833,209.816,0.170125
258.3,1678.844532,209.696,0.168416
258.2,291.8998682,208.863,0.156546
258.1,-93.32437418,209.143,0.160539
258,1433.267457,208.03,0.144636
257.9,2317.616601,208.918,0.157338
257.8,2586.773386,209.06,0.159359
257.7,482.3043478,209.293,0.162688
257.6,6568.985507,208.769,0.155203
257.5,1652.939394,208.456,0.150734
257.4,1267.980237,209.012,0.15868
257.3,2670.932806,208.887,0.156885
257.2,-178.1475626,209.493,0.165529
257.1,2293.193676,209.528,0.166029
257,2950.719368,209.205,0.161428
256.9,-2265.903821,209.755,0.169254
256.8,854.9235837,209.51,0.165771
256.7,5667.391304,209.824,0.170237
256.6,-601.7527009,209.18,0.161072
256.5,-583.1475626,209.935,0.171816
256.4,1289.271805,209.568,0.166593
256.3,4917.615283,209.93,0.171752
256.2,2343.01054,209.291,0.162655
256.1,859.7812912,209.45,0.164915
256,2398.675889,210.415,0.17864
255.9,1848.667984,209.646,0.167706
255.8,5800.065876,209.181,0.161088
255.7,1685.126482,211.226,0.190134
255.6,120.8985507,209.826,0.17027
255.5,803.5309618,209.415,0.164415
255.4,5065.151515,209.317,0.163027
255.3,3118.803953,210.376,0.178077
255.2,1053.013175,209.285,0.162574
255.1,-1568.976285,209.56,0.166481
255,2411.69697,210.071,0.173749
254.9,1132.343874,209.71,0.168625
254.8,530.5162055,209.868,0.170866
254.7,-1788.756258,210.426,0.178801
254.6,-1558.707642,210.796,0.184038
254.5,3781.221344,210.264,0.176501
254.4,-65.46113307,211.094,0.188258
254.3,1593.82029,210.172,0.175182
254.2,2049.343874,210.032,0.173201
254.1,1879.510672,210.604,0.181324
254,-1000.362319,210.681,0.182416
253.9,2173.831357,210.814,0.184295
253.8,1644.540184,210.327,0.177386
253.7,-1915.293808,210.196,0.175536
253.6,3353.389987,209.678,0.168158
253.5,1474.167325,210.556,0.180633
253.4,2342.498024,209.546,0.166287
253.3,3031.637681,211.121,0.188643
253.2,2334.641634,211.188,0.189589
253.1,-511.9619236,210.204,0.175648
253,3268.680501,210.99,0.186782
252.9,4064.483531,210.851,0.184825
252.8,754.3214756,210.655,0.182047
252.7,4541.752306,210.783,0.183862
252.6,-41.68511199,210.838,0.184632
252.5,-737.6956522,210.286,0.176807
252.4,4352.654809,211.144,0.188963
252.3,2035.8722,210.816,0.184327
