TITLE,CC.SJ.9_28_22_PHOSPHATEBUFFER_PROTEIN,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,14:11:26,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,2.2816,,
MAXY,45.72734,,
MINY,-70.38342,,
XYDATA,,,
279.1,0.5623350667,207.779,0.141031
279,0.9828126667,208.268,0.148043
278.9,0.606099,207.051,0.130587
278.8,-0.4720563333,207.517,0.137277
278.7,-1.002823,207.777,0.141015
278.6,0.0005477666667,208.104,0.145691
278.5,1.353395333,207.529,0.137456
278.4,0.08645566667,208.276,0.148156
278.3,1.010065667,208.459,0.150782
278.2,1.045298667,208.522,0.151673
278.1,0.4204265,207.565,0.137976
278,0.844506,206.538,0.123198
277.9,0.3318049,207.478,0.136724
277.8,-0.07786466667,207.969,0.14376
277.7,-0.3489404667,207.433,0.136073
277.6,1.288582,206.71,0.125679
277.5,-0.166257,207.529,0.137456
277.4,0.3252016667,208.686,0.154021
277.3,0.228455,207.192,0.132606
277.2,0.496771,208.521,0.151657
277.1,0.4687173333,207.255,0.133518
277,0.4255633333,207.834,0.141827
276.9,0.0296097,208.242,0.14767
276.8,1.105679,207.639,0.139033
276.7,0.5667847,208.147,0.146308
276.6,-0.08014836667,207.743,0.140528
276.5,0.939202,208.012,0.144377
276.4,0.1989147867,206.266,0.119278
276.3,0.5465763333,208.04,0.144783
276.2,2.200233333,207.824,0.141681
276.1,0.2518043333,209.119,0.1602
276,0.1855155,207.734,0.140398
275.9,-0.064577,207.805,0.141405
275.8,1.100798333,207.868,0.142315
275.7,0.574781,208.299,0.148481
275.6,0.296964,207.867,0.142299
275.5,-0.4466513333,207.877,0.142445
275.4,0.8225683333,207.638,0.139017
275.3,1.2205308,207.9,0.14277
275.2,0.5477256667,208.713,0.15441
275.1,-0.087109,207.419,0.135878
275,1.517160333,208.265,0.147994
274.9,0.9686116667,207.519,0.137309
274.8,0.4965736667,208.262,0.147962
274.7,1.405022667,208.455,0.150717
274.6,0.911463,207.863,0.14225
274.5,1.400706333,207.854,0.14212
274.4,0.3907423333,208.197,0.147021
274.3,0.3600542,208.759,0.155057
274.2,0.2374303333,208.117,0.145886
274.1,-0.3654639667,207.891,0.14264
274,0.82638,207.863,0.14225
273.9,0.6854486667,207.738,0.140447
273.8,0.008863666667,207.792,0.141227
273.7,0.6809443333,207.858,0.142168
273.6,1.269629333,207.946,0.143435
273.5,0.6480053333,208.069,0.145188
273.4,0.8426360333,207.518,0.137293
273.3,0.6549213333,207.996,0.14415
273.2,0.354942,207.993,0.144101
273.1,0.318395,207.948,0.143468
273,0.35950063,207.248,0.133421
272.9,0.6555733333,208.356,0.149307
272.8,0.6348899333,208.114,0.145837
272.7,1.277761,207.639,0.139033
272.6,0.2998712333,208.096,0.145577
272.5,0.9036013333,208.152,0.146389
272.4,0.341519,208.1,0.145642
272.3,0.564514,207.762,0.140788
272.2,0.01126566667,208.378,0.149615
272.1,0.9268711,208.009,0.144328
272,0.433893,207.844,0.141974
271.9,0.4080361333,207.982,0.143955
271.8,0.4932374667,207.499,0.137017
271.7,0.328322,208.41,0.150069
271.6,0.5280076667,207.968,0.143744
271.5,0.8523126667,208.924,0.157419
271.4,0.4512023333,207.952,0.143516
271.3,-0.09030966667,207.224,0.133079
271.2,0.2622864667,208.774,0.155284
271.1,0.2829298667,208.161,0.146519
271,1.0799162,208.446,0.150588
270.9,0.1410266667,208.291,0.148367
270.8,0.6543553333,208.052,0.144945
270.7,0.5431333333,207.39,0.135455
270.6,2.116124667,208.164,0.146551
270.5,0.9057543333,208.55,0.152078
270.4,-0.3500725333,208.397,0.149891
270.3,1.435497333,207.667,0.139439
270.2,-0.091105,207.654,0.139244
270.1,0.6470153333,207.894,0.142688
270,0.07732366667,208.123,0.145967
269.9,-0.07874033333,208.01,0.144344
269.8,0.527213,207.723,0.140236
269.7,0.4566318667,208.325,0.148854
269.6,0.5093061,207.796,0.141275
269.5,0.5453691667,208.963,0.157969
269.4,0.8308132667,208.398,0.149907
269.3,0.2747293333,208.951,0.157807
269.2,0.424177,208.598,0.152758
269.1,1.046903333,208.304,0.148562
269,1.083918333,208.43,0.150361
268.9,0.982657,208.465,0.150863
268.8,0.9374886667,207.975,0.143841
268.7,0.03973896667,208.156,0.146437
268.6,0.2275036667,208.706,0.154313
268.5,-0.03333566667,208.549,0.152062
268.4,0.265023,208.28,0.148221
268.3,0.1350391333,208.813,0.155834
268.2,0.9763096667,207.918,0.143029
268.1,0.8769693333,208.616,0.153017
268,0.1730573333,207.411,0.135764
267.9,1.728796667,208.723,0.154555
267.8,-0.2071856667,208.593,0.152694
267.7,0.1063808,208.963,0.157969
267.6,1.537339667,207.998,0.144182
267.5,0.5800753333,208.607,0.152888
267.4,0.689906,208.801,0.155656
267.3,-0.7917516667,208.601,0.152807
267.2,0.5953556667,208.767,0.15517
267.1,1.358613333,209.061,0.159376
267,-0.4197476667,209.381,0.163931
266.9,0.246727,208.941,0.157662
266.8,0.3637806667,207.918,0.143029
266.7,0.3904325333,208.7,0.154215
266.6,0.807434,209.411,0.164367
266.5,0.698486,208.488,0.151187
266.4,0.2665753333,209.331,0.16322
266.3,0.262587,208.619,0.153066
266.2,0.8440586667,209.165,0.160862
266.1,0.8439283333,209.106,0.160022
266,0.700835,209.174,0.160992
265.9,0.5708593333,208.795,0.155575
265.8,0.796528,209.349,0.163479
265.7,0.2623536667,209.353,0.163543
265.6,-0.04189933333,209.743,0.169093
265.5,0.4924233333,209.075,0.159569
265.4,0.473019,209.401,0.164221
265.3,-0.07373733333,209.553,0.166384
265.2,0.4988883333,208.994,0.158422
265.1,-0.6795313333,209.187,0.161169
265,0.803522,209.421,0.164512
264.9,-0.70981,209.173,0.160975
264.8,0.1112891733,209.251,0.16209
264.7,0.2993286667,209.1,0.159925
264.6,-0.2106986667,208.942,0.157678
264.5,-0.2703113333,209.058,0.159327
264.4,0.301345,209.293,0.162688
264.3,0.736621,208.529,0.151771
264.2,1.141986667,209.416,0.164431
264.1,0.6690866667,209.883,0.171075
264,-1.013586,209.769,0.169464
263.9,0.1228421667,209.688,0.168303
263.8,-0.09229266667,209.261,0.162219
263.7,-0.1373366667,209.767,0.169431
263.6,0.1779363333,210.474,0.179476
263.5,1.011730667,209.324,0.163123
263.4,-0.5989647667,209.722,0.168787
263.3,-0.006550333333,209.956,0.172123
263.2,0.3467033333,209.248,0.162042
263.1,0.0006516666667,209.658,0.167884
263,-0.2402023333,209.225,0.161719
262.9,-0.3576066667,210.087,0.173974
262.8,0.4690413333,209.432,0.164657
262.7,0.1178696667,210.185,0.175375
262.6,0.3343802,210.167,0.175117
262.5,1.007816,210.144,0.174795
262.4,-0.01745633333,210.056,0.173539
262.3,-0.8397335,209.258,0.162187
262.2,-0.2814570667,210.105,0.174232
262.1,0.7974206667,210.091,0.174039
262,-0.02796466667,209.554,0.1664
261.9,0.4846436667,210.277,0.176678
261.8,0.7787599333,210.87,0.185082
261.7,-0.4227923333,209.816,0.170125
261.6,0.8404656667,209.019,0.158777
261.5,0.6214446667,209.811,0.17006
261.4,-0.09123966667,210.121,0.174457
261.3,-0.2585956667,209.956,0.172123
261.2,0.6213733333,210.198,0.175552
261.1,1.503514333,210.024,0.173089
261,0.8727196667,209.921,0.171623
260.9,0.1620646667,210.798,0.18407
260.8,-0.1903048333,210.56,0.180697
260.7,0.6660983333,211.083,0.188098
260.6,-1.050612333,208.754,0.154993
260.5,-0.4428433333,210.556,0.180633
260.4,0.52970837,209.603,0.167093
260.3,-0.8916386,209.793,0.169802
260.2,0.7510023333,210.438,0.178962
260.1,-0.0569653,211.015,0.187136
260,0.262741,210.788,0.183926
259.9,-0.1711353333,210.252,0.176324
259.8,1.004219333,210.532,0.180296
259.7,0.07512556667,209.627,0.167432
259.6,-0.0535597,210.991,0.186798
259.5,-0.0004583333333,210.252,0.176324
259.4,0.4621266667,210.966,0.186446
259.3,0.245531,210.635,0.181758
259.2,0.7648951333,210.611,0.18142
259.1,0.5781886667,210.966,0.186446
259,0.9389253333,210.204,0.175648
258.9,-0.918398,210.924,0.185852
258.8,0.1458543333,211.234,0.190246
258.7,0.6147655867,210.754,0.183444
258.6,0.6322141667,211.24,0.190326
258.5,0.552983,211.121,0.188643
258.4,0.2173566667,210.569,0.180826
258.3,0.65803,211.143,0.188948
258.2,-0.204481,211.433,0.193049
258.1,0.2266156667,211.567,0.194955
258,0.587177,210.662,0.182143
257.9,-0.4673143333,210.371,0.178013
257.8,1.027239333,209.905,0.171398
257.7,0.5586866667,211.648,0.196091
257.6,0.5487968,211.08,0.188066
257.5,-0.3256866667,212.293,0.205184
257.4,1.381159667,211.892,0.19953
257.3,0.5656766667,211.974,0.200696
257.2,0.6363023333,211.16,0.189188
257.1,0.2493910667,212.942,0.214319
257,0.7451598333,211.538,0.194539
256.9,-0.04684513333,211.365,0.192088
256.8,-0.0141908,211.452,0.193322
256.7,0.5893263667,211.473,0.193626
256.6,0.3484933333,211.676,0.196491
256.5,0.151176,211.634,0.195899
256.4,0.08843566667,211.604,0.195467
256.3,0.9289213333,211.572,0.195019
256.2,1.013082667,211.456,0.193386
256.1,0.8360453333,211.648,0.196091
256,-0.5154043333,211.469,0.193562
255.9,0.4505529667,211.172,0.189364
255.8,-0.455882,211.302,0.191207
255.7,0.1434426667,211.953,0.200393
255.6,-0.4610023333,211.916,0.199881
255.5,0.8855603333,211.733,0.197291
255.4,0.3235233333,211.47,0.193578
255.3,0.6369273333,210.944,0.186141
255.2,0.1232316667,211.331,0.191608
255.1,0.3364336667,212.146,0.203125
255,-0.4271443333,211.961,0.200505
254.9,0.5388296667,211.709,0.196955
254.8,-0.09262866667,211.82,0.198523
254.7,-0.07012466667,211.758,0.197643
254.6,0.1456316667,212.08,0.202183
254.5,0.038128,212.417,0.20694
254.4,0.4370633333,211.972,0.200665
254.3,0.2366333333,211.856,0.199034
254.2,-0.157019,211.967,0.200601
254.1,0.484826,212.596,0.209459
254,-0.4255006667,211.513,0.194187
253.9,0.03691186667,212.561,0.208965
253.8,0.02181933333,211.773,0.197851
253.7,-0.546808,212.439,0.207243
253.6,-0.6084046667,211.552,0.194731
253.5,0.8227986667,212.39,0.206557
253.4,0.4524043333,212.982,0.214876
253.3,0.749004,212.108,0.202582
253.2,-0.3336883333,212.237,0.204402
