TITLE,TB TH  KD_ Buffer and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:01:55,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.10152,,
MAXY,24.87453,,
MINY,-18.08336,,
XYDATA,,,
295,0.6343963333,207.2553333,0.1335203333
294.9,0.8700846667,207.5266667,0.137413
294.8,1.275852333,207.8123333,0.141502
294.7,1.07299,207.2686667,0.1337046667
294.6,1.490793333,207.431,0.1360323333
294.5,1.12128,207.971,0.143787
294.4,1.835043333,207.8863333,0.1425756667
294.3,1.150371333,207.088,0.1311153333
294.2,0.9749183333,207.7836667,0.1411063333
294.1,1.196182,206.9026667,0.1284513333
294,2.241813333,207.702,0.1399263333
293.9,0.8188153333,207.6146667,0.1386783333
293.8,0.9077536667,207.5836667,0.138235
293.7,0.1097205333,207.7816667,0.1410803333
293.6,0.821493,207.347,0.1348246667
293.5,0.2998696667,208.7713333,0.1552223333
293.4,1.308604333,207.6286667,0.138879
293.3,0.698753,207.4343333,0.13609
293.2,2.642373333,207.3146667,0.1343606667
293.1,0.8533793333,207.6113333,0.13863
293,0.7129396667,206.7676667,0.1265026667
292.9,0.9464453333,207.197,0.132684
292.8,0.3385197667,208.1516667,0.146359
292.7,1.156201667,207.6336667,0.1389486667
292.6,1.747593333,206.7386667,0.1260913333
292.5,1.728743333,207.6126667,0.1386526667
292.4,0.963253,206.7833333,0.126729
292.3,0.5216576667,207.781,0.1410653333
292.2,1.334039333,206.3616667,0.1206483333
292.1,1.280216667,207.5083333,0.1371513333
292,2.13153,206.6976667,0.1254953333
291.9,1.188238,206.3226667,0.1200903333
291.8,0.7581556667,206.7966667,0.1269213333
291.7,1.205326333,206.812,0.1271453333
291.6,0.7215369333,207.023,0.1301736667
291.5,1.155281,206.699,0.1255193333
291.4,1.575707667,207.2133333,0.132913
291.3,0.7489793333,206.6373333,0.1246156667
291.2,0.8747356667,206.6156667,0.124319
291.1,0.1881333333,206.8896667,0.1282516667
291,1.435005333,206.7153333,0.125737
290.9,0.8011036667,207.778,0.141018
290.8,-0.100607,206.222,0.118643
290.7,0.9919346667,206.4243333,0.1215476667
290.6,1.062708667,206.451,0.1219403333
290.5,0.9618383333,206.7836667,0.126734
290.4,0.577806,206.697,0.1254666667
290.3,0.501711,206.0276667,0.1157933333
290.2,1.941476667,206.875,0.1280366667
290.1,1.017130667,207.3643333,0.1350893333
290,1.547063333,207.0696667,0.1308456667
289.9,1.99247,207.0493333,0.1305553333
289.8,0.3358473333,207.3293333,0.13457
289.7,0.4799376667,207.4303333,0.136019
289.6,2.05674,207.4426667,0.1361996667
289.5,1.079039,207.1923333,0.132604
289.4,1.353754667,207.5123333,0.1371966667
289.3,0.9269323333,207.3016667,0.1341653333
289.2,0.4851326667,206.9406667,0.128998
289.1,0.543498,207.2423333,0.133339
289,1.754804,206.708,0.1256503333
288.9,0.3568253333,206.9433333,0.1290366667
288.8,1.180530967,206.999,0.1298336667
288.7,0.9071113333,206.6976667,0.1254906667
288.6,1.211622,206.913,0.1285973333
288.5,0.9856773333,207.1446667,0.1319286667
288.4,0.8733893333,206.313,0.119952
288.3,0.2444059667,207.3846667,0.1353743333
288.2,1.055317333,207.8796667,0.1424696667
288.1,1.548061333,206.6186667,0.1243516667
288,0.9144836667,207.6733333,0.1395216667
287.9,1.723830667,206.6156667,0.1243096667
287.8,0.936992,206.3693333,0.120757
287.7,0.9976306667,206.907,0.128511
287.6,0.4615166667,207.3393333,0.1347333333
287.5,1.711798,207.031,0.130296
287.4,0.3995393333,206.4013333,0.1212156667
287.3,0.9765010667,207.1023333,0.1313173333
287.2,1.047008367,207.4786667,0.136725
287.1,1.239894,207.3366667,0.134684
287,0.1671267567,206.3726667,0.1208116667
286.9,0.7370436667,207.2193333,0.133008
286.8,1.031341,207.0423333,0.1304546667
286.7,1.363117333,206.833,0.127444
286.6,0.638003,207.0746667,0.1308913333
286.5,0.8255103333,206.7073333,0.1256363333
286.4,0.7589556667,207.6863333,0.139707
286.3,0.9769836667,207.184,0.132484
286.2,0.5378316667,207.2226667,0.133055
286.1,1.214151667,206.471,0.122217
286,0.9387359667,206.6116667,0.124252
285.9,1.384744,207.0563333,0.130656
285.8,1.136097,206.8273333,0.1273606667
285.7,1.395159333,207.2943333,0.1340803333
285.6,1.1219388,207.3946667,0.1355223333
285.5,1.619743333,206.8043333,0.1270106667
285.4,0.308184,206.9513333,0.12915
285.3,0.7733673,207.0363333,0.130368
285.2,0.9126513333,207.1803333,0.132437
285.1,0.6880603333,207.6963333,0.13985
285,1.023876667,206.8826667,0.1281533333
284.9,0.4617906667,206.437,0.1217090333
284.8,1.279336,207.4523333,0.1363543333
284.7,0.4859523333,206.7686667,0.126516
284.6,-0.2939993333,207.217,0.1329673333
284.5,0.2941127333,206.4353333,0.1217193333
284.4,0.1080026667,206.601,0.1241046667
284.3,0.6675233333,206.5586667,0.123496
