TITLE,TB_TH_KD_Protein and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:59:09,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,θM [deg*cm^2/dmol],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.84122,,
MAXY,28.98565,,
MINY,-60.63684,,
XYDATA,,,
289.8,-131908.5382,-69.08000167,-2.785488333
289.7,73287.14052,-68.76127967,-2.780275667
289.6,-650146.0289,-68.52882933,-2.780628333
289.5,-307352.7939,-67.70775333,-2.745975667
289.4,-552179.9046,-69.21477067,-2.786879333
289.3,133092.8327,-68.68541567,-2.779322667
289.2,-313644.4941,-68.18461833,-2.775015667
289.1,-401665.1766,-68.32178933,-2.775240333
289,-707776.6354,-68.37142933,-2.774289667
288.9,211314.7072,-68.1810217,-2.773822
288.8,-513804.6342,-68.49606333,-2.776825
288.7,-340635.3748,-68.41370667,-2.77139
288.6,-234011.4737,-68.30165467,-2.774858
288.5,-30572.32901,-68.550496,-2.780934333
288.4,-210145.2839,-67.46726967,-2.759697667
288.3,52445.25406,-68.87267667,-2.781667333
288.2,-60669.70645,-69.00064533,-2.784330667
288.1,-468130.219,-67.91253567,-2.771502
288,-39968.48458,-69.121831,-2.785192667
287.9,-842233.1396,-68.25974467,-2.774296
287.8,-212032.186,-67.72860667,-2.762256
287.7,-61648.33855,-67.80987167,-2.770230667
287.6,-87002.90568,-68.61128933,-2.777377
287.5,-566113.0979,-68.21059933,-2.775599333
287.4,243744.1514,-67.80825267,-2.768973667
287.3,-171205.3643,-67.79470333,-2.753392
287.2,3292.489942,-68.81434567,-2.779668
287.1,-113794.2184,-69.026877,-2.783896333
287,128832.3245,-68.27335333,-2.769484
286.9,-273870.8985,-68.6795281,-2.780714
286.8,-421981.9699,-68.693222,-2.777148333
286.7,-264777.6784,-68.08602437,-2.772612
286.6,-42818.0599,-68.12694067,-2.774863333
286.5,-388538.2208,-67.80541867,-2.769634667
286.4,-188104.4554,-68.751193,-2.783020333
286.3,-185703.9189,-68.26895263,-2.774967
286.2,3614.215467,-68.02694667,-2.775314667
286.1,-682882.7298,-67.83501,-2.764061667
286,-438156.2956,-68.001298,-2.767728667
285.9,-360937.3372,-68.15701667,-2.771815
285.8,-452827.7768,-68.04652,-2.765693333
285.7,-434982.3573,-68.63605,-2.775275667
285.6,-431825.3613,-68.73514,-2.774090667
285.5,-528428.8482,-67.886209,-2.767429667
