TITLE,CC.SJ.9_28_22_ADDITIVE_KCL_PROTEIN,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,14:21:11,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,1.05716,,
MAXY,63.3399,,
MINY,-41.84982,,
XYDATA,,,
280.8,1.933931333,207.189,0.132574
280.7,0.1614867333,207.681,0.139634
280.6,1.395756333,206.735,0.126038
280.5,1.53637,206.226,0.118706
280.4,1.340137967,207.788,0.141162
280.3,1.149650667,207.322,0.134479
280.2,0.8091296667,207.026,0.130228
280.1,1.5228,206.761,0.126413
280,0.3269013333,206.576,0.123753
279.9,1.133652333,206.998,0.129821
279.8,0.8891416667,206.933,0.128892
279.7,0.7749083333,207.303,0.134202
279.6,1.235428,206.911,0.128566
279.5,0.1267683333,207.127,0.131678
279.4,2.218024,207.068,0.130831
279.3,1.322984667,206.965,0.129348
279.2,0.571947,207.284,0.133941
279.1,0.174767,207.258,0.133567
279,0.3958836667,207.628,0.13887
278.9,0.7694006667,207.791,0.14121
278.8,0.824972,208.491,0.151236
278.7,0.605793,206.325,0.120128
278.6,-0.1530093333,207.476,0.136691
278.5,0.058191,206.818,0.127229
278.4,1.032908667,207.283,0.133925
278.3,1.199610667,207.24,0.133306
278.2,0.9692636667,207.41,0.135748
278.1,0.22647,207.484,0.136805
278,1.453673267,207.483,0.136789
277.9,1.073862667,207.209,0.132851
277.8,0.342366,206.911,0.128566
277.7,0.06932766667,207.38,0.135309
277.6,0.7759546667,207.173,0.132346
277.5,1.364803333,208.122,0.145951
277.4,0.7157106667,207.828,0.141746
277.3,1.010808,206.949,0.12912
277.2,0.5002286667,207.373,0.135211
277.1,0.7333966667,208.228,0.147476
277,-0.3452113333,206.633,0.12457
276.9,0.4759433333,207.231,0.133176
276.8,1.377893,206.933,0.128892
276.7,0.928747,207.576,0.138123
276.6,1.900076667,206.754,0.126316
