TITLE,TB_TH_KD_Protein and Additive,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/29,,
TIME,16:59:09,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,θM [deg*cm^2/dmol],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.84122,,
MAXY,28.98565,,
MINY,-60.63684,,
XYDATA,,,
292.5,600923.2603,138.306656,0.139213
292.4,584386.3806,138.6496087,0.1434953333
292.3,481507.0779,138.374152,0.1383293333
292.2,473506.3329,138.3059947,0.1371863333
292.1,475340.4858,138.7201383,0.1444683333
292,183985.6951,138.9645763,0.1461153333
291.9,164748.6217,138.425408,0.1421393333
291.8,837426.017,138.30255,0.1309556667
291.7,133009.4472,138.502644,0.1408353333
291.6,78110.11772,138.326759,0.140033
291.5,555986.7382,138.479412,0.1385386667
291.4,685698.1076,138.36916,0.129409
291.3,666953.0621,138.5751683,0.1388836667
291.2,263981.21,138.384279,0.13732
291.1,305586.2018,138.656843,0.1433913333
291,756189.8376,138.8343493,0.1489603333
290.9,385538.4399,138.329592,0.1334716667
290.8,681582.0295,138.5720097,0.1409173333
290.7,26000.59604,138.1513657,0.1355743333
290.6,235194.6059,138.7680053,0.1433043333
290.5,491209.9538,138.40758,0.1369026667
290.4,833993.4436,138.4574553,0.1375526667
290.3,492556.847,138.9609773,0.1437066667
290.2,343330.8002,138.537515,0.1389343333
290.1,263453.1366,138.848508,0.148264
290,461997.0198,138.6259773,0.140901
289.9,-74318.17911,138.1870507,0.1397606667
289.8,655969.3041,139.0648577,0.1477813333
289.7,417011.0416,138.6980173,0.146106
289.6,942606.169,138.557599,0.1453913333
289.5,458682.6106,139.258117,0.1526933333
289.4,239975.1155,138.8075827,0.1475576667
289.3,468385.1736,139.1548903,0.152183
289.2,550694.5314,138.55507,0.141494
289.1,329092.5346,138.982587,0.1483176667
289,183027.5071,138.7836017,0.1434076667
288.9,458749.0687,138.960964,0.1468296667
288.8,-164066.4581,139.0399027,0.1495493333
288.7,127400.8345,138.778527,0.147501
288.6,611782.7149,138.918329,0.14863
288.5,630637.1629,138.791591,0.1499653333
288.4,104348.3833,138.7495633,0.1468943333
288.3,144356.8768,138.7760923,0.1477623333
288.2,384613.7684,139.1709773,0.1508656667
288.1,496404.8577,138.299013,0.1418233333
288,442112.7999,138.906516,0.1465756667
287.9,547780.0626,139.1937777,0.154274
287.8,581302.1904,138.7075817,0.146989
287.7,338691.0297,139.203834,0.147829
287.6,230144.8368,138.826057,0.14846
287.5,491659.6632,139.016144,0.149128
287.4,657164.208,139.6213877,0.1564093333
287.3,506411.8611,139.0331893,0.151095
287.2,601494.7102,138.809671,0.146391
287.1,12973.35717,138.670221,0.1464943333
287,432754.731,139.0856267,0.154435
286.9,421383.9964,139.277918,0.1550223333
286.8,398028.7588,138.7264013,0.1487523333
286.7,116291.6555,138.92676,0.1487156667
286.6,636345.269,138.8729043,0.1502343333
286.5,737855.7592,139.1440067,0.1533543333
286.4,276796.6622,138.3475907,0.138281
286.3,620903.2931,139.018224,0.1538756667
286.2,569472.5078,139.0325023,0.1542436667
286.1,375408.7319,138.7828907,0.1462906667
286,405510.3561,138.93163,0.1486516667
285.9,376671.1369,139.1728463,0.1566016667
285.8,349739.2341,139.341951,0.1538823333
285.7,667837.8781,139.035598,0.149631
285.6,353232.0072,139.1284843,0.154613
285.5,123817.7619,139.2132057,0.1589503333
285.4,194084.1901,139.0957993,0.152974
285.3,566816.4208,138.930803,0.149392
285.2,163351.6466,139.1160787,0.151338
285.1,105099.9851,139.1911377,0.1536483333
285,540139.9195,139.2761837,0.149305
284.9,291216.2122,138.8898933,0.1509143333
284.8,478412.934,138.9130737,0.1493233333
284.7,-134822.8282,139.236594,0.156712
284.6,130678.1404,138.836335,0.1479023333
284.5,430365.0723,138.949721,0.1531616667
284.4,368201.3113,139.030618,0.1518293333
284.3,17408.67233,139.1567277,0.152877
284.2,-90943.22754,139.538459,0.1572573333
284.1,286414.9903,139.2031603,0.1486383333
284,108562.0623,139.2681323,0.155145
283.9,358290.5677,138.9034107,0.152047
283.8,169202.9504,139.1269327,0.1536536667
283.7,174768.0525,139.1596607,0.1530863333
283.6,-212745.0454,139.441711,0.1557
283.5,-91487.55774,138.8600753,0.1522763333
283.4,346977.0526,139.3180113,0.1547793333
283.3,360161.2278,139.1748853,0.1538373333
283.2,730318.8795,139.085266,0.151629
283.1,124518.1046,138.855934,0.1484683333
283,457147.072,138.980478,0.154721
282.9,624822.5302,139.0140287,0.1531006667
282.8,388657.5324,138.7533703,0.1493516667
282.7,332185.2183,139.2241137,0.160482
282.6,390346.0587,139.264552,0.1485796667
282.5,360841.7523,138.7064953,0.1459326667
282.4,-58689.01803,139.020131,0.1560416667
282.3,447328.8631,139.0892997,0.1558126667
282.2,-33378.33408,138.935277,0.1499983333
282.1,287947.9958,139.0925783,0.1545843333
282,109363.2842,139.1946523,0.156351
281.9,447376.3403,139.2366907,0.1548436667
281.8,-91700.0447,139.1683957,0.1525853333
281.7,630261.2129,139.305546,0.1534713333
281.6,451776.3672,139.4136917,0.1623546667
281.5,529727.075,139.389738,0.1589713333
281.4,95210.10282,139.3495367,0.1538116667
281.3,392604.5299,139.4401007,0.1599036667
281.2,413290.2697,139.3477847,0.1558573333
281.1,479129.7869,138.9594297,0.1497526667
281,9948.144837,139.1463763,0.1530986667
280.9,359089.5545,138.8996967,0.1431373333
280.8,210018.3281,138.8300747,0.149008
280.7,336560.155,138.9652823,0.1519826667
280.6,612262.405,139.316191,0.15615
280.5,354501.5646,139.245049,0.1539823333
280.4,159167.6352,139.064547,0.1527093333
280.3,496882.7298,139.409407,0.158831
280.2,408964.8339,139.3571307,0.1545793333
280.1,425598.4205,139.4275237,0.1583653333
280,783310.982,139.031532,0.1534953333
279.9,568620.4738,139.5615983,0.1610113333
279.8,-104338.5487,139.0937963,0.1511836667
279.7,78096.82611,138.6378983,0.148907
279.6,286018.9838,139.0191483,0.1501643333
279.5,449450.3055,139.025591,0.1527623333
279.4,292748.0256,139.3704553,0.1594263333
279.3,411607.8081,139.2948467,0.1588223333
279.2,98118.59633,139.538277,0.1582456667
279.1,383903.5911,139.2706573,0.157108
279,378493.2201,139.233038,0.154225
278.9,350183.6239,139.280253,0.156362
278.8,390030.5469,138.9489963,0.148594
278.7,228738.489,139.405265,0.1573026667
278.6,1002.086127,139.5333047,0.1600426667
278.5,57760.24437,139.1668143,0.1577183333
