TITLE,KMGM_Additive&PROTEIN_928_Averages,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,15:27:31,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.43344,,
MAXY,54.05992,,
MINY,-64.3879,,
XYDATA,,,
277.7,1.144903367,207.8896667,0.1426216667
277.6,0.6317233333,207.33,0.1345893333
277.5,1.197045,207.889,0.142612
277.4,2.108593333,207.727,0.1402866667
277.3,0.5227773333,207.292,0.1340313333
277.2,0.1372693667,207.0823333,0.1310323333
277.1,0.3650378,207.5393333,0.1375993333
277,0.3947863333,207.409,0.1357313333
276.9,1.138097333,208.1896667,0.1469136667
276.8,1.494678667,207.892,0.1426543333
276.7,0.4080321333,208.051,0.1449336667
276.6,0.768452,207.874,0.1423953333
276.5,0.527738,207.811,0.1414973333
276.4,0.8189876667,207.2566667,0.1335393333
276.3,0.2381013333,207.7783333,0.1410063333
276.2,0.17866,207.8053333,0.1414133333
276.1,0.5884932333,207.3786667,0.135296
276,1.662751667,207.9003333,0.1427733333
275.9,0.9947743333,207.778,0.1410186667
275.8,-0.918269,207.861,0.142198
275.7,0.183909,208.1933333,0.1469663333
275.6,0.799238,207.7393333,0.1404636667
275.5,1.204319333,206.9803333,0.1295686667
275.4,0.9163586667,207.6216667,0.138775
275.3,0.3370913333,207.7713333,0.140924
275.2,1.742353333,207.8143333,0.1415413333
275.1,0.4409613333,208.3456667,0.149151
275,1.47919,207.5183333,0.137297
274.9,1.056119667,208.107,0.1457363333
274.8,0.481559,208.0133333,0.1443926667
274.7,1.409348667,207.8856667,0.1425633333
274.6,0.8677473333,207.8763333,0.142428
274.5,1.65817,207.5183333,0.1372976667
274.4,0.1891757013,207.415,0.1358036667
274.3,0.755825,207.8923333,0.1426636667
274.2,1.708606667,207.6276667,0.1388633333
274.1,1.082471333,207.78,0.14101
274,-0.3743587667,207.2803333,0.133879
273.9,1.155097133,208.1016667,0.145661
273.8,1.394397667,207.6213333,0.1387743333
273.7,0.9212,208.031,0.1446446667
273.6,0.695684,207.4386667,0.136145
273.5,0.4423766667,207.7543333,0.140683
273.4,0.1043123667,207.2843333,0.133937
273.3,1.332844,208.103,0.1456776667
273.2,0.3705810667,207.649,0.139171
273.1,0.8113013333,208.2056667,0.1471483333
273,-0.09062333333,207.9686667,0.143748
272.9,1.109029333,207.892,0.1426556667
272.8,0.7418976667,208.0593333,0.1450486667
272.7,0.5472282667,207.9676667,0.1437283333
272.6,0.9964753333,207.9516667,0.14351
272.5,1.083994333,207.4873333,0.1368456667
272.4,0.09225733333,207.851,0.1420696667
272.3,1.17658,207.4683333,0.136581
272.2,0.2421766667,207.8096667,0.1414596667
272.1,0.7469913333,208.2846667,0.1482766667
272,1.260316567,207.9776667,0.1438793333
271.9,0.792933,208.0696667,0.1452006667
271.8,0.8267656667,208.0733333,0.1452416667
271.7,-0.1446673333,207.9226667,0.1430953333
271.6,1.058828667,208.0686667,0.1451783333
271.5,0.250163,207.737,0.1404153333
271.4,0.5073353333,207.823,0.141663
271.3,0.7381506667,207.7686667,0.140887
271.2,-0.287027,208.1583333,0.1464746667
271.1,0.6657936667,208.102,0.1456663333
271,0.1251626667,207.8456667,0.1419693333
270.9,1.452158667,208.205,0.1471343333
270.8,0.2294236667,207.4426667,0.1362053333
270.7,1.454849133,208.0313333,0.1446523333
270.6,0.32743,207.915,0.1429673333
270.5,0.5325526667,208.2703333,0.1480656667
270.4,0.7102453333,207.6123333,0.1386413333
270.3,0.8383886667,208.097,0.1455973333
270.2,0.7055723333,208.1306667,0.1460796667
270.1,0.531829,208.1786667,0.1467603333
270,1.063745,208.4333333,0.1504033333
269.9,-0.1722753333,207.7046667,0.1399693333
269.8,-0.3692086667,207.8393333,0.1419053333
269.7,0.4690053333,207.5106667,0.137184
269.6,0.6653213333,208.423,0.1502556667
269.5,0.6021462833,207.991,0.1440726667
269.4,1.368960333,208.304,0.1485553333
269.3,0.4459936667,208.2526667,0.147821
269.2,0.47849,208.1646667,0.1465633333
269.1,-0.2310966667,207.797,0.1412963333
269,0.680858,208.4153333,0.150132
268.9,-0.1874706667,208.7153333,0.1544363333
268.8,-0.188393,208.3993333,0.149922
268.7,-0.1662066,208.5606667,0.152228
268.6,1.335526333,208.4583333,0.1507593333
268.5,0.2290206667,208.4256667,0.1502953333
268.4,0.014713,208.0566667,0.145001
268.3,0.3724696667,208.508,0.1514716667
268.2,1.150122,208.271,0.1480833333
268.1,0.7013353333,208.708,0.154329
268,-0.5899513333,208.2643333,0.1479873333
267.9,-0.04451766667,208.2843333,0.1482733333
267.8,0.3294621667,208.173,0.146676
267.7,2.48733,208.3766667,0.1495963333
267.6,0.4739672667,208.623,0.1531196667
267.5,0.6388636667,208.2386667,0.147616
267.4,0.653952,207.687,0.1396773333
267.3,1.318672,208.336,0.1490146667
267.2,0.1373981333,209.4406667,0.1647823333
267.1,0.9539886667,208.7206667,0.1545086667
267,-0.01828633333,208.4196667,0.150213
266.9,1.014527667,208.2566667,0.147865
266.8,0.6370686667,208.508,0.1514783333
266.7,0.0173735,208.4056667,0.1500066667
266.6,-0.3312856667,208.0556667,0.1449926667
266.5,1.157969333,208.5963333,0.1527303333
266.4,1.124964667,208.4646667,0.150853
266.3,0.8306723333,208.845,0.156283
266.2,-0.3223703333,209.08,0.1596353333
266.1,0.1620086667,209.034,0.1589846667
266,-0.1839266667,208.5996667,0.1527846667
265.9,0.08697983333,208.9213333,0.1573773333
265.8,0.2860293333,208.816,0.155875
265.7,0.4686959,208.9006667,0.1570813333
265.6,1.049202333,208.7226667,0.1545406667
265.5,0.2788376667,209.444,0.1648206667
265.4,-1.086419667,209.5673333,0.1665873333
