TITLE,AZNTEA_ADDITIVE&PROTEIN_928,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/28,,
TIME,15:55:35,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,2.04193,,
MAXY,51.60477,,
MINY,-66.95696,,
XYDATA,,,
280.6,2.062953333,207.879,0.142468
280.5,0.670002,207.4746667,0.136668
280.4,0.3574699,207.888,0.1425926667
280.3,1.407316667,207.3323333,0.1346293333
280.2,1.379774333,207.7286667,0.1403133333
280.1,0.623833,207.6726667,0.1395146667
280,1.336502333,208.0043333,0.1442683333
279.9,1.448924333,207.8533333,0.1420993333
279.8,1.162484826,207.9346667,0.1432653333
279.7,0.535407,207.8036667,0.1413913333
279.6,1.523375333,208.159,0.14648
279.5,1.046806,208.053,0.1449626667
279.4,0.923155,208.0686667,0.145186
279.3,0.6016776667,207.378,0.1352856667
279.2,1.404878333,207.6113333,0.1386333333
279.1,1.568451333,207.7976667,0.141307
279,0.7421134667,208.1876667,0.146886
278.9,0.9394663333,207.551,0.137764
278.8,1.323921,207.392,0.1354833333
278.7,0.08463733333,207.4773333,0.1367063333
278.6,0.9233073333,208.0546667,0.1449836667
278.5,1.371689333,207.6426667,0.139087
278.4,0.490027,208.0943333,0.1455503333
278.3,-0.1115093333,207.5016667,0.1370616667
278.2,0.1844496667,207.847,0.1420086667
278.1,1.427386,207.4396667,0.1361696667
278,0.900672,207.769,0.1408956667
277.9,-0.1238533333,208.0143333,0.1444073333
277.8,1.46235,207.737,0.1404336667
277.7,0.4739556667,208.1236667,0.145981
277.6,0.1673126667,208.2336667,0.1475496667
277.5,0.3822706667,208.1486667,0.1463336667
277.4,0.4084701667,207.7533333,0.1406736667
277.3,0.7440903333,207.918,0.143028
277.2,1.051324333,208.4256667,0.1502953333
277.1,0.792459,207.9073333,0.1428693333
277,0.2295673333,207.6393333,0.139026
276.9,0.5668203333,208.1233333,0.1459666667
276.8,1.071128333,208.0993333,0.145626
276.7,0.4132566667,207.9246667,0.1431186667
276.6,0.4310853667,207.5156667,0.13726
276.5,1.104658667,207.6976667,0.1398723333
276.4,1.257815333,207.6893333,0.139746
276.3,0.2459236667,207.4256667,0.1359533333
276.2,0.637306,208.3436667,0.1491236667
276.1,-0.2592486667,207.9843333,0.143981
276,1.407786,207.9023333,0.1427993333
275.9,0.236709,207.2633333,0.1336356667
275.8,1.127801,207.995,0.1441326667
275.7,0.325569,207.3853333,0.1353886667
275.6,0.8506016667,207.964,0.1436893333
275.5,0.1436767667,207.713,0.1400856667
275.4,0.8455893333,207.8613333,0.1422156667
275.3,1.346583,208.1913333,0.1469493333
275.2,-0.01460566667,208.256,0.1478636667
275.1,0.8239306667,207.8573333,0.1421546667
275,0.3876486667,207.747,0.140581
274.9,0.7577566667,207.902,0.1428
274.8,0.9787092,208.2376667,0.14761
274.7,-0.03071866667,207.5313333,0.1374876667
274.6,1.114383333,207.7343333,0.1403926667
274.5,0.982576,207.8283333,0.1417406667
274.4,1.122008333,207.9773333,0.1438823333
274.3,0.9335541667,207.8773333,0.1424496667
274.2,0.631447,208.3696667,0.1494953333
274.1,0.9678333333,207.7503333,0.140622
274,0.381794,207.998,0.1441773333
273.9,1.361482,207.5853333,0.138262
273.8,1.287396333,208.164,0.146554
273.7,-0.02272366667,208.108,0.1457503333
273.6,1.245067667,208.3486667,0.1491913333
273.5,1.240456333,208.046,0.144861
273.4,0.769218275,207.8116667,0.141496
273.3,0.8209584667,207.8666667,0.1422973333
273.2,-0.1913890333,207.941,0.1433613333
273.1,0.17613,207.3753333,0.135241
273,0.2638416667,207.986,0.1439996667
272.9,0.6993513,208.2556667,0.1478633333
272.8,0.9618733333,207.9203333,0.143058
272.7,1.301092,207.8416667,0.1419353333
272.6,0.4102273333,207.9366667,0.1432983333
272.5,1.001958,207.782,0.141072
272.4,1.224317333,208.1703333,0.146641
272.3,0.6950976667,207.5396667,0.1376066667
272.2,1.446635667,207.9236667,0.1431146667
272.1,1.411585333,207.8476667,0.142016
272,0.2136486667,207.558,0.1378643333
271.9,1.056906667,208.4046667,0.149998
271.8,1.141404667,208.464,0.1508453333
271.7,0.532603,208.4283333,0.1503386667
271.6,-0.1966506667,208.045,0.1448386667
271.5,1.459670667,208.6716667,0.153813
271.4,0.2993606667,208.0636667,0.1451093333
271.3,0.9123540333,207.9493333,0.143484
271.2,0.9961546667,207.9776667,0.1438816667
271.1,1.138608667,208.3623333,0.1493906667
271,1.184419,207.7803333,0.1410433333
270.9,-0.205895,208.347,0.14917
270.8,1.416256667,207.7576667,0.1407336667
270.7,0.5993026667,208.673,0.1538263333
270.6,-0.4306591,208.1246667,0.1459786667
270.5,0.22573,208.2973333,0.1484546667
270.4,0.2997499667,208.1493333,0.146341
270.3,0.2850772667,208.622,0.153091
270.2,0.218429,208.5023333,0.1513933333
270.1,0.8423468667,208.38,0.149639
270,0.5843626667,208.1893333,0.146915
269.9,1.569313333,208.2133333,0.147261
269.8,-0.1300423333,208.5673333,0.152321
269.7,0.54251,207.6343333,0.138964
269.6,1.151034333,208.1983333,0.14704
269.5,0.8193223333,208.4583333,0.1507633333
269.4,0.313463,208.747,0.154881
269.3,1.38981,208.4616667,0.150811
269.2,0.6292213333,208.5533333,0.15212
269.1,-1.022356,208.5263333,0.151736
269,0.947722,208.355,0.1492843333
268.9,1.626402,208.7566667,0.155028
268.8,-0.3785826667,208.349,0.149194
268.7,0.8305933333,208.647,0.153464
268.6,0.9547076667,208.5326667,0.151829
268.5,0.9147946667,208.7106667,0.1543703333
268.4,1.684428333,208.9056667,0.157158
268.3,0.9288586667,208.4303333,0.150363
268.2,0.2763756667,208.2296667,0.147488
268.1,0.5776726667,208.7576667,0.1550363333
268,1.323753333,208.6083333,0.1529093333
267.9,0.7672486667,208.4803333,0.151077
267.8,0.806365,208.6203333,0.1530783333
267.7,0.7738743933,208.5003333,0.1513623333
267.6,1.220790667,208.7353333,0.1547256667
267.5,0.113561,208.7006667,0.1542233333
267.4,0.763038,209.2756667,0.1624313333
267.3,0.9976496667,209.147,0.1605983333
267.2,1.006572367,208.7176667,0.1544686667
267.1,0.017406,208.5893333,0.1526236667
267,0.4815123333,208.407,0.1500293333
266.9,1.428168,208.4776667,0.15104
266.8,0.7107474,209.207,0.1614486667
266.7,0.1931373333,209.0393333,0.1590666667
266.6,1.430413333,209.1866667,0.161163
266.5,-0.3622473333,208.9856667,0.158297
266.4,-0.3721249667,208.9016667,0.1570976667
266.3,0.116324,208.529,0.151771
266.2,0.8166166,209.314,0.1629816667
266.1,-0.00045,208.8896667,0.1569283333
266,0.6046287333,209.0913333,0.1598043333
265.9,0.6052246667,209.353,0.1635306667
265.8,0.1523856667,209.127,0.160318
265.7,-0.1960746667,209.5166667,0.1658663333
265.6,0.180767,209.4923333,0.1655216667
265.5,0.5900463333,209.6326667,0.1675136667
265.4,1.393394667,209.2443333,0.1619866667
265.3,0.4108146667,208.7183333,0.15448
265.2,0.5781083333,209.0156667,0.1587173333
265.1,0.9308133333,209.3276667,0.163173
265,0.5945993333,209.461,0.1650716667
264.9,0.4909016667,209.5986667,0.167031
264.8,0.9331886667,209.1963333,0.1613023333
264.7,1.257419333,209.166,0.1608673333
264.6,0.742077,209.102,0.1599536667
264.5,0.3081758667,209.3546667,0.163559
264.4,0.1951813333,208.9366667,0.1576016667
264.3,0.2845232333,209.3296667,0.1632016667
264.2,1.56878,209.6563333,0.167856
264.1,-0.3198383333,209.4006667,0.164215
264,0.8292447,209.5216667,0.165937
263.9,-0.06857,209.7343333,0.1689606667
263.8,0.40321,209.6616667,0.1679283333
263.7,0.874881,209.9453333,0.1719656667
263.6,1.165111333,209.4743333,0.1652646667
263.5,0.9714776667,209.9103333,0.171462
263.4,-0.9839817667,209.11,0.1600693333
263.3,0.9187436667,209.454,0.1649713333
263.2,0.4640073333,209.9256667,0.1716836667
263.1,1.006460667,209.5483333,0.1663183333
263,0.4258006667,209.9716667,0.1723423333
262.9,0.3765123333,209.5573333,0.1664473333
262.8,0.1675196667,209.4,0.164209
262.7,0.3400699333,209.5603333,0.166477
262.6,0.09080766667,209.714,0.168673
262.5,1.158455667,209.7326667,0.1689356667
262.4,-0.8869086667,210.0296667,0.173168
262.3,0.5681821667,209.485,0.1654206667
262.2,0.8364836333,210.099,0.1741456667
262.1,-0.5332918667,210.2753333,0.1766563333
262,0.4494126667,210.1096667,0.1742996667
261.9,-0.119318,210.1416667,0.1747576667
261.8,0.08253533333,210.1913333,0.1754576667
261.7,0.8098,210.258,0.176409
261.6,0.2182886667,209.9613333,0.1721933333
261.5,0.3251126667,209.977,0.172414
261.4,-0.094559,210.2613333,0.1764576667
261.3,0.7284268,210.295,0.176934
261.2,1.147999733,209.7773333,0.1695816667
261.1,0.5304994,210.273,0.1766226667
261,0.21928,210.289,0.1768486667
260.9,0.653906,210.3073333,0.1771123333
260.8,1.158705333,210.431,0.1788626667
260.7,0.852786,210.565,0.180767
260.6,1.278343333,210.058,0.173562
260.5,-0.1764763333,210.588,0.181086
