TITLE,Protein_AMSS,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,22/09/27,,
TIME,14:37:36,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-0.1,,
XUNITS,NANOMETERS,,
YUNITS,MOLAR ELLIPTICITY,,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,320,,
LASTX,190,,
NPOINTS,1301,,
FIRSTY,0.0788,,
MAXY,35.46646,,
MINY,-73.42445,,
XYDATA,,,
286.8,20319.18329,258.401,0.803165
286.7,6776.560159,258.048,0.798943
286.6,11636.53191,257.973,0.798046
286.5,1060.619631,258.137,0.800002
286.4,5855.063653,258.594,0.805485
286.3,11777.92826,258.084,0.799378
286.2,5951.660442,258.722,0.807017
286.1,11800.75776,258.484,0.804169
286,6287.390263,258.785,0.807763
285.9,7007.781571,258.833,0.808345
285.8,-105.4829704,258.731,0.807125
285.7,7776.47806,258.806,0.80802
285.6,1502.920294,258.382,0.802948
285.5,9167.498969,258.099,0.799554
285.4,13845.54737,258.069,0.799188
285.3,9773.464584,258.72,0.80699
285.2,13205.66544,258.411,0.803288
285.1,4749.262237,258.248,0.801333
285,9217.633856,258.605,0.805607
284.9,12021.99177,258.155,0.80022
284.8,12541.56987,257.907,0.797245
284.7,8205.740079,257.745,0.795301
284.6,-7297.863698,258.532,0.804739
284.5,13886.89106,258.717,0.806949
284.4,7321.932605,258.038,0.798821
284.3,-6592.804387,258.914,0.809307
284.2,6175.77585,258.248,0.801333
284.1,14596.02142,258.377,0.802881
284,862.3166674,258.548,0.804929
283.9,4125.515213,258.322,0.802229
283.8,7069.421677,259.455,0.815777
283.7,-4608.125982,259.202,0.812746
283.6,10571.1763,258.515,0.804536
283.5,2718.085742,258.967,0.809944
283.4,5229.092257,259.035,0.810756
283.3,-191.2010299,259.255,0.813382
283.2,7595.793211,257.942,0.797666
283.1,-1223.398,258.902,0.809171
283,13540.87734,258.721,0.807003
282.9,4871.02033,257.921,0.797421
282.8,14218.9298,257.287,0.789803
282.7,1667.165596,258.939,0.809605
282.6,5125.308947,258.457,0.803844
282.5,6628.916795,258.205,0.800817
282.4,-1471.460183,259.006,0.810404
282.3,8440.263785,257.731,0.795138
282.2,13922.40412,258.563,0.805105
282.1,597.124668,258.832,0.808332
282,13823.4303,258.577,0.805282
281.9,6904.668852,259.012,0.810485
281.8,6288.104731,259.611,0.817629
281.7,7303.667195,259.297,0.813883
281.6,-3629.813781,259.501,0.816318
281.5,8375.124845,258.339,0.802433
281.4,4186.569541,259.177,0.812449
281.3,22739.03352,258.352,0.802582
281.2,12237.47431,259.57,0.817142
281.1,6158.584743,257.708,0.794866
281,7049.620579,259.238,0.813179
280.9,13139.17854,257.096,0.787515
280.8,3069.710721,258.293,0.801876
280.7,4064.03026,257.715,0.794947
280.6,1818.202173,259.429,0.815466
280.5,-1400.54941,257.86,0.796687
280.4,17156.71161,258.173,0.800437
280.3,11654.46259,257.585,0.793383
280.2,6131.462554,258.761,0.807478
280.1,7167.900193,257.825,0.796266
280,1922.737496,258.27,0.801605
279.9,15625.97253,257.78,0.795722
279.8,2667.340198,257.643,0.794077
279.7,22311.07649,257.153,0.788196
279.6,11263.29195,257.587,0.79341
279.5,-299.3211311,258.156,0.800233
279.4,6630.393679,258.326,0.80227
279.3,-8965.122927,257.805,0.796021
279.2,3491.998592,259.021,0.810594
279.1,2569.32759,255.953,0.773741
279,8256.840708,257.621,0.793818
278.9,4105.646264,257.527,0.792689
278.8,98.5825535,257.954,0.797815
278.7,8325.758933,258.624,0.805837
278.6,2834.55148,257.85,0.796565
278.5,5184.531305,258.543,0.804875
278.4,-1166.593388,260.034,0.822681
278.3,11168.95459,258.389,0.80303
